workerid,language,enjoyment,gender,age,comments,fluent,asses,fairprice,education
42,"""English""","""1""","""Male""","""41""","""holding of one key and not another messes with your head, created some quick unintended clicks.""","""No""","""Yes""","""5.00""","""1"""
43,"""English""","""1""","""Male""","""27""","""Sometimes when there were many of one answer in a row, my brain wouldn&quotechart register a change and answer incorrectly!""","""No""","""Yes""","""yes""","""4"""
44,"""English""","""1""","""Male""","""30""","""none""","""No""","""Yes""","""4""","""3"""
45,"""English""","""2""","""Female""","""59""","""There was one to many moving pieces for me to think about, so I kept forgetting to hold down the K button, besides that I think I did all right and was true to my answers.""","""No""","""Yes""","""4.00""","""3"""
46,"""English""","""1""","""Male""","""25""","""OMG THE WHOLE LETTING GO OF THE K KEY AND THE SENTENCE WENT AWAY DROVE ME CRAZY. I probably hit K without remembering to hold it 50 times. ""","""No""","""Yes""","""Yes""","""2"""
47,"""English""","""1""","""Male""","""56""","""It was interesting to do.""","""No""","""Yes""","""7.00""","""2"""
48,"""English""","""2""","""Male""","""26""","""The K key on my keyboard was having some problems part way through the experiment: it would double-press on a single press so I missed the prompt on 2 or 3 trials at which point I swapped in a different keyboard""","""Yes""","""Yes""","""3.00""","""2"""
49,"""English""","""1""","""Female""","""47""","""""","""No""","""Yes""","""Yes""","""3"""
50,"""english""","""1""","""Male""","""30""","""""","""No""","""Yes""","""not sure""","""1"""
51,"""English""","""2""","""Female""","""24""","""""","""No""","""Yes""","""4.00""","""3"""
52,"""English""","""2""","""Male""","""24""","""""","""No""","""Yes""","""It was good""","""3"""
53,"""English""","""2""","""Male""","""22""","""""","""No""","""Yes""","""4.00""","""3"""
54,"""English""","""1""","""Male""","""57""","""""","""No""","""Yes""","""6.00""","""1"""
55,"""English""","""2""","""Female""","""30""","""Ack! I was so bad at this.""","""No""","""Yes""","""4""","""2"""
56,"""english""","""0""","""Male""","""23""","""""","""No""","""Yes""","""10""","""3"""
57,"""English""","""2""","""Female""","""54""","""I thought it was enjoyable""","""No""","""Yes""","""4.00""","""1"""
58,"""English""","""1""","""Female""","""27""","""""","""No""","""Yes""","""6""","""2"""
59,"""english""","""2""","""Male""","""31""","""""","""No""","""Yes""","""6.00""","""1"""
60,"""English""","""1""","""Male""","""57""","""none""","""No""","""Yes""","""English""","""3"""
61,"""English""","""1""","""Male""","""26""","""""","""No""","""Yes""","""4.00""","""2"""
62,"""English""","""2""","""Female""","""27""","""This is very good study and very well task""","""Yes""","""Yes""","""I do correct""","""2"""
63,"""English""","""2""","""Male""","""40""","""I got a bit of a hand cramp while doing this, so needed to take a few breaks. Also, the cramping did cause me to push a button I did not intend on a few trials.""","""No""","""Yes""","""$4.00""","""2"""
64,"""English""","""2""","""Male""","""31""","""The experiment was quick and easy. Good pay.""","""No""","""Yes""","""$4""","""1"""
65,"""English""","""2""","""Male""","""31""","""I loved this task!""","""No""","""Yes""","""yes""","""1"""
66,"""English""","""1""","""Female""","""37""","""N/A""","""No""","""Yes""","""4""","""3"""
67,"""english""","""2""","""Female""","""33""","""""","""No""","""Yes""","""4.00""","""2"""
68,"""English""","""1""","""Female""","""30""","""This was fun, thank you!""","""No""","""Yes""","""4""","""3"""
69,"""english""","""2""","""Male""","""38""","""""","""No""","""Yes""","""4""","""1"""
70,"""English""","""0""","""Male""","""31""","""A little worried because it&quotechars in the hit frame it might not submit and wipe my answers""","""No""","""Yes""","""$5""","""2"""
71,"""English""","""1""","""Male""","""59""","""""","""No""","""Yes""","""4.00""","""2"""
72,"""english""","""2""","""Female""","""33""","""Felt like my perception of \""many\"" and \""few\"" changed by the end of the HIT""","""Yes""","""Yes""","""4""","""4"""
73,"""English""","""1""","""Female""","""55""","""""","""No""","""Yes""","""4.00""","""2"""
74,"""English""","""2""","""Male""","""28""","""Cool study!""","""Yes""","""Yes""","""Yes""","""1"""
75,"""english""","""2""","""Male""","""38""","""""","""No""","""Yes""","""5.00""","""2"""
76,"""English""","""1""","""Male""","""30""","""""","""No""","""Yes""","""yes""","""3"""
77,"""English""","""1""","""Male""","""32""","""""","""No""","""Yes""","""Yes""","""1"""
78,"""English""","""2""","""Female""","""32""","""""","""No""","""Yes""","""4.00""","""3"""
79,"""english""","""1""","""Male""","""48""","""kind of boring and unnecessarily complicated""","""No""","""Yes""","""4.00""","""3"""
80,"""English""","""1""","""Female""","""27""","""""","""No""","""No""","""4""","""1"""
81,"""ENGLISH""","""2""","""Female""","""27""","""well""","""Yes""","""Yes""","""WELL""","""3"""
82,"""ENGLISH""","""2""","""Female""","""28""","""NICE EXPERIMENT I LOVE IT ""","""Yes""","""No""","""4""","""3"""
83,"""ENGLISH""","""2""","""Male""","""40""","""NONE""","""Yes""","""Yes""","""500""","""3"""
84,"""English""","""1""","""Female""","""28""","""No comment.""","""No""","""Yes""","""4.00""","""3"""
85,"""English""","""2""","""Female""","""28""","""nice experiment. every questions are slightly different.""","""Yes""","""Yes""","""4.00""","""3"""
86,"""english""","""2""","""Male""","""71""","""none""","""No""","""Yes""","""4.00""","""1"""
87,"""English""","""2""","""Male""","""29""","""""","""No""","""No""","""Yes it was a fair price""","""3"""
88,"""English""","""1""","""Male""","""55""","""""","""No""","""Yes""","""Yes""","""2"""
89,"""english""","""1""","""Male""","""53""","""Thanks!""","""No""","""Yes""","""$4 is fair""","""2"""
