workerid,A,B,percent,read_time_two,quant,read_time_one,decision_time,response
0,"""dorder""","""coggon""",52,146,"""Most""",184,1142,"""True"""
0,"""schook""","""jabant""",62,137,"""Fewer than half""",165,983,"""False"""
0,"""jallem""","""sildal""",15,84,"""Many""",139,613,"""False"""
0,"""clidge""","""hensly""",20,116,"""Fewer than half""",119,590,"""True"""
0,"""cather""","""funder""",74,71,"""Fewer than half""",176,955,"""False"""
0,"""pengyl""","""sedest""",92,198,"""More than half""",160,874,"""True"""
0,"""devole""","""sholly""",73,81,"""Fewer than half""",96,994,"""False"""
0,"""monter""","""melelt""",35,122,"""Fewer than half""",125,1096,"""True"""
0,"""dorder""","""coggon""",29,121,"""Fewer than half""",144,1159,"""True"""
0,"""pluset""","""stubad""",46,103,"""Fewer than half""",141,1117,"""True"""
0,"""bemble""","""squank""",77,140,"""More than half""",95,544,"""True"""
0,"""russer""","""huttle""",25,145,"""Most""",157,494,"""False"""
0,"""dorder""","""coggon""",7,117,"""Many""",131,1095,"""False"""
0,"""awplor""","""fasees""",74,144,"""Few""",153,551,"""False"""
0,"""tiklet""","""hullaw""",63,150,"""Most""",182,660,"""True"""
0,"""shurry""","""preser""",99,91,"""More than half""",145,947,"""True"""
0,"""werner""","""hurmer""",69,181,"""Many""",121,934,"""True"""
0,"""coppar""","""hunene""",8,145,"""Fewer than half""",118,707,"""False"""
0,"""clidge""","""hensly""",95,136,"""Many""",184,887,"""True"""
0,"""monter""","""melelt""",81,164,"""Few""",120,1110,"""False"""
0,"""zetten""","""unfobs""",20,115,"""Few""",120,1224,"""True"""
0,"""strant""","""potind""",88,218,"""Most""",87,686,"""True"""
0,"""shrile""","""athoid""",61,117,"""Fewer than half""",143,8128,"""True"""
0,"""shurry""","""preser""",6,114,"""Many""",1237,1518,"""True"""
0,"""pobbit""","""spippy""",93,201,"""Few""",153,799,"""False"""
0,"""cosutz""","""spover""",88,155,"""Fewer than half""",136,965,"""True"""
0,"""isbant""","""unairs""",37,162,"""Fewer than half""",197,1201,"""True"""
0,"""gukbar""","""soarse""",85,189,"""More than half""",182,482,"""True"""
0,"""shamer""","""bloifs""",54,119,"""More than half""",133,606,"""True"""
0,"""bameta""","""unzast""",70,78,"""More than half""",142,2243,"""True"""
0,"""monter""","""melelt""",82,185,"""Most""",93,508,"""True"""
0,"""cosutz""","""spover""",24,122,"""Few""",165,1814,"""True"""
0,"""mecket""","""plumry""",55,147,"""More than half""",173,2367,"""True"""
0,"""menner""","""nandow""",32,124,"""More than half""",107,399,"""False"""
0,"""pliper""","""sesare""",26,151,"""Fewer than half""",137,801,"""True"""
0,"""pobbit""","""spippy""",38,151,"""Many""",122,1609,"""False"""
0,"""fleeve""","""scalfs""",83,122,"""Fewer than half""",185,1002,"""False"""
0,"""zetten""","""unfobs""",19,161,"""Most""",121,1719,"""False"""
0,"""werner""","""hurmer""",80,147,"""Few""",145,1782,"""False"""
0,"""russer""","""huttle""",46,96,"""Few""",201,1213,"""True"""
0,"""isbant""","""unairs""",49,142,"""Many""",183,959,"""True"""
0,"""chadop""","""shaple""",88,163,"""Few""",192,694,"""False"""
0,"""shrile""","""athoid""",68,146,"""More than half""",131,1298,"""True"""
0,"""shamer""","""bloifs""",77,95,"""Few""",139,833,"""False"""
0,"""russer""","""huttle""",23,139,"""Many""",160,1231,"""False"""
0,"""strant""","""potind""",53,121,"""Fewer than half""",160,1007,"""False"""
0,"""mecket""","""plumry""",31,115,"""Fewer than half""",165,1599,"""True"""
0,"""pirter""","""secent""",58,120,"""More than half""",184,760,"""True"""
0,"""chulks""","""vulhor""",48,145,"""Most""",149,649,"""False"""
0,"""hadder""","""ollidy""",48,122,"""Few""",183,774,"""False"""
0,"""russer""","""huttle""",71,184,"""Fewer than half""",142,1175,"""False"""
0,"""pliper""","""sesare""",34,144,"""Few""",185,949,"""True"""
0,"""bemble""","""squank""",83,138,"""Few""",147,695,"""False"""
0,"""birler""","""enciad""",61,161,"""More than half""",170,1965,"""True"""
0,"""shrile""","""athoid""",41,160,"""Many""",160,660,"""True"""
0,"""tecker""","""biller""",15,160,"""Fewer than half""",159,1134,"""True"""
0,"""strant""","""potind""",17,161,"""Many""",140,551,"""False"""
0,"""middor""","""drooty""",45,150,"""Many""",159,3614,"""True"""
0,"""shrile""","""athoid""",57,11416,"""Few""",122,2920,"""True"""
0,"""hadder""","""ollidy""",72,11416,"""Many""",122,2924,"""True"""
0,"""beckel""","""racual""",19,11416,"""Few""",122,2926,"""True"""
0,"""puggle""","""entand""",94,57,"""Fewer than half""",824,1247,"""True"""
0,"""spunge""","""wenple""",3,108,"""Fewer than half""",137,938,"""False"""
0,"""mecket""","""plumry""",2,190,"""Most""",158,642,"""False"""
0,"""chulks""","""vulhor""",44,168,"""Many""",161,600,"""True"""
0,"""menner""","""nandow""",17,121,"""Many""",88,614,"""False"""
0,"""hadder""","""ollidy""",42,139,"""Most""",157,641,"""False"""
0,"""pluset""","""stubad""",81,130,"""Few""",122,843,"""False"""
0,"""chevel""","""podden""",67,147,"""More than half""",128,387,"""True"""
0,"""chevel""","""podden""",17,134,"""Fewer than half""",137,574,"""True"""
0,"""chadop""","""shaple""",88,103,"""Many""",166,430,"""True"""
0,"""sporer""","""firtly""",83,140,"""Many""",139,543,"""True"""
0,"""clidge""","""hensly""",3,110,"""Most""",146,621,"""False"""
0,"""pobbit""","""spippy""",97,142,"""Most""",126,616,"""True"""
0,"""werner""","""hurmer""",38,153,"""More than half""",144,1348,"""False"""
0,"""coppar""","""hunene""",32,91,"""Most""",144,574,"""False"""
0,"""shurry""","""preser""",33,86,"""Few""",142,585,"""True"""
0,"""ancits""","""smeath""",1,183,"""Most""",148,858,"""False"""
0,"""cosutz""","""spover""",39,123,"""More than half""",168,713,"""False"""
0,"""boddle""","""molill""",15,188,"""Many""",188,574,"""False"""
0,"""cather""","""funder""",62,230,"""Many""",140,738,"""True"""
0,"""padnet""","""fanely""",49,170,"""Few""",173,758,"""False"""
0,"""pliper""","""sesare""",7,161,"""More than half""",120,551,"""False"""
0,"""padnet""","""fanely""",60,160,"""Many""",137,586,"""True"""
0,"""fleeve""","""scalfs""",61,169,"""Few""",169,1336,"""False"""
0,"""shurry""","""preser""",28,177,"""Fewer than half""",140,839,"""True"""
0,"""spunge""","""wenple""",27,154,"""More than half""",90,520,"""False"""
0,"""pirter""","""secent""",89,153,"""Many""",138,2543,"""True"""
0,"""puctor""","""recure""",17,153,"""More than half""",176,338,"""False"""
0,"""jallem""","""sildal""",81,123,"""Most""",148,922,"""True"""
0,"""pluset""","""stubad""",99,161,"""More than half""",107,691,"""True"""
0,"""umpond""","""marire""",39,117,"""Many""",135,583,"""False"""
0,"""chulks""","""vulhor""",61,144,"""Fewer than half""",112,919,"""False"""
0,"""zetten""","""unfobs""",28,192,"""Many""",117,417,"""False"""
0,"""strant""","""potind""",30,145,"""Few""",144,1049,"""True"""
0,"""chadop""","""shaple""",91,143,"""Most""",130,1393,"""True"""
0,"""puggle""","""entand""",55,184,"""Many""",155,660,"""True"""
0,"""ancits""","""smeath""",56,184,"""Few""",167,853,"""False"""
0,"""bemble""","""squank""",95,158,"""Fewer than half""",159,654,"""False"""
0,"""kustle""","""reshix""",32,109,"""Many""",117,1614,"""True"""
0,"""tecker""","""biller""",81,136,"""Many""",191,437,"""True"""
0,"""zetten""","""unfobs""",8,156,"""More than half""",150,491,"""True"""
0,"""fleeve""","""scalfs""",65,174,"""Many""",158,1362,"""True"""
0,"""tiklet""","""hullaw""",92,186,"""More than half""",183,422,"""True"""
0,"""coppar""","""hunene""",28,148,"""Many""",173,380,"""False"""
0,"""spunge""","""wenple""",1,180,"""Many""",143,629,"""False"""
0,"""chadop""","""shaple""",42,149,"""Fewer than half""",174,554,"""True"""
0,"""jallem""","""sildal""",59,137,"""Few""",161,994,"""False"""
0,"""puctor""","""recure""",78,174,"""Most""",114,635,"""True"""
0,"""ingell""","""nalill""",90,173,"""Many""",158,376,"""True"""
0,"""schook""","""jabant""",74,151,"""Many""",152,422,"""True"""
0,"""puctor""","""recure""",52,165,"""Fewer than half""",122,867,"""False"""
0,"""tiklet""","""hullaw""",73,134,"""Few""",165,727,"""False"""
0,"""pirter""","""secent""",58,160,"""Few""",142,607,"""False"""
0,"""birler""","""enciad""",67,187,"""Few""",133,448,"""False"""
0,"""sporer""","""firtly""",68,178,"""More than half""",134,297,"""True"""
0,"""boddle""","""molill""",79,176,"""Fewer than half""",186,456,"""True"""
0,"""menner""","""nandow""",16,143,"""Most""",182,729,"""False"""
0,"""coamin""","""mucond""",55,165,"""Fewer than half""",135,832,"""True"""
0,"""tecker""","""biller""",40,184,"""Few""",143,1456,"""True"""
0,"""puctor""","""recure""",78,148,"""Few""",142,808,"""False"""
0,"""cosutz""","""spover""",12,145,"""Many""",145,1238,"""False"""
0,"""werner""","""hurmer""",38,144,"""Most""",155,967,"""False"""
0,"""bameta""","""unzast""",28,127,"""Most""",97,375,"""False"""
0,"""umpond""","""marire""",48,66,"""Most""",80,1144,"""True"""
0,"""bemble""","""squank""",82,182,"""Many""",160,1310,"""True"""
0,"""raster""","""movell""",5,182,"""Fewer than half""",160,1315,"""True"""
0,"""pirter""","""secent""",21,124,"""Most""",112,541,"""False"""
0,"""jallem""","""sildal""",44,128,"""Fewer than half""",159,655,"""False"""
0,"""coamin""","""mucond""",4,138,"""Few""",139,1260,"""False"""
0,"""schook""","""jabant""",62,136,"""Few""",160,760,"""True"""
0,"""gukbar""","""soarse""",6,157,"""Fewer than half""",118,506,"""True"""
0,"""dorder""","""coggon""",24,113,"""Few""",79,508,"""True"""
0,"""shamer""","""bloifs""",9,122,"""Fewer than half""",143,478,"""True"""
0,"""schook""","""jabant""",29,95,"""Most""",85,762,"""False"""
0,"""bameta""","""unzast""",30,104,"""Many""",188,536,"""False"""
0,"""russer""","""huttle""",65,134,"""More than half""",111,1721,"""True"""
0,"""umpond""","""marire""",12,112,"""Few""",104,427,"""False"""
0,"""pliper""","""sesare""",22,138,"""Many""",153,1362,"""False"""
0,"""coamin""","""mucond""",21,185,"""More than half""",36,527,"""False"""
0,"""gukbar""","""soarse""",5,163,"""Few""",131,731,"""True"""
0,"""raster""","""movell""",36,145,"""Many""",166,1144,"""False"""
0,"""sporer""","""firtly""",3,164,"""Fewer than half""",129,354,"""True"""
0,"""dorder""","""coggon""",63,141,"""More than half""",139,653,"""True"""
0,"""fleeve""","""scalfs""",19,134,"""Most""",160,420,"""False"""
0,"""werner""","""hurmer""",1,157,"""Fewer than half""",160,472,"""True"""
0,"""tecker""","""biller""",86,162,"""Most""",193,1606,"""True"""
0,"""pengyl""","""sedest""",7,3,"""Few""",199,1543,"""False"""
0,"""fleeve""","""scalfs""",20,147,"""More than half""",199,724,"""True"""
0,"""kustle""","""reshix""",65,201,"""Fewer than half""",168,1288,"""True"""
0,"""birler""","""enciad""",2,204,"""Fewer than half""",143,431,"""True"""
0,"""puggle""","""entand""",72,136,"""Few""",156,617,"""False"""
0,"""devole""","""sholly""",13,158,"""More than half""",171,365,"""False"""
0,"""gukbar""","""soarse""",43,137,"""Most""",124,679,"""False"""
0,"""chulks""","""vulhor""",12,144,"""More than half""",168,1073,"""False"""
0,"""pluset""","""stubad""",71,159,"""Many""",195,424,"""True"""
0,"""coppar""","""hunene""",96,186,"""More than half""",108,499,"""True"""
0,"""beckel""","""racual""",99,163,"""Many""",159,645,"""True"""
0,"""shamer""","""bloifs""",87,184,"""Many""",204,1068,"""True"""
0,"""ancits""","""smeath""",59,163,"""More than half""",209,386,"""True"""
0,"""chevel""","""podden""",99,160,"""Most""",132,567,"""True"""
0,"""coamin""","""mucond""",97,161,"""Most""",161,1097,"""True"""
0,"""boddle""","""molill""",95,208,"""Few""",115,629,"""True"""
0,"""birler""","""enciad""",49,189,"""Many""",133,1182,"""True"""
0,"""shamer""","""bloifs""",63,121,"""Most""",97,894,"""True"""
0,"""chadop""","""shaple""",55,168,"""More than half""",166,392,"""True"""
0,"""sporer""","""firtly""",32,177,"""Few""",121,634,"""True"""
0,"""raster""","""movell""",82,163,"""Few""",546,485,"""False"""
0,"""pengyl""","""sedest""",97,133,"""Fewer than half""",77,1129,"""False"""
0,"""ancits""","""smeath""",57,160,"""Many""",184,1465,"""True"""
0,"""mecket""","""plumry""",97,140,"""Few""",168,578,"""False"""
0,"""monter""","""melelt""",67,157,"""More than half""",158,2116,"""True"""
0,"""schook""","""jabant""",2,163,"""More than half""",161,1814,"""False"""
0,"""umpond""","""marire""",91,106,"""More than half""",98,1536,"""False"""
0,"""padnet""","""fanely""",46,160,"""Fewer than half""",184,663,"""True"""
0,"""cather""","""funder""",34,198,"""More than half""",158,2727,"""True"""
0,"""tecker""","""biller""",85,171,"""More than half""",180,357,"""True"""
0,"""devole""","""sholly""",17,132,"""Most""",160,1558,"""False"""
0,"""tiklet""","""hullaw""",24,104,"""Many""",169,1128,"""False"""
0,"""isbant""","""unairs""",17,129,"""Most""",114,551,"""False"""
0,"""boddle""","""molill""",27,136,"""More than half""",136,584,"""False"""
0,"""shrile""","""athoid""",38,141,"""Most""",120,632,"""False"""
0,"""ingell""","""nalill""",43,123,"""Most""",105,706,"""False"""
0,"""umpond""","""marire""",27,127,"""Fewer than half""",140,680,"""True"""
0,"""isbant""","""unairs""",10,149,"""Few""",158,344,"""True"""
0,"""jallem""","""sildal""",75,187,"""More than half""",135,448,"""True"""
0,"""clidge""","""hensly""",1,150,"""Few""",160,2002,"""True"""
0,"""cather""","""funder""",96,185,"""Most""",148,683,"""True"""
0,"""padnet""","""fanely""",55,161,"""More than half""",159,491,"""True"""
0,"""birler""","""enciad""",26,88,"""Most""",154,643,"""False"""
0,"""coamin""","""mucond""",72,142,"""Many""",144,659,"""True"""
0,"""devole""","""sholly""",67,169,"""Many""",177,548,"""True"""
0,"""hadder""","""ollidy""",4,184,"""Fewer than half""",200,702,"""True"""
0,"""zetten""","""unfobs""",31,142,"""Fewer than half""",160,473,"""True"""
0,"""awplor""","""fasees""",90,178,"""Many""",183,362,"""True"""
0,"""spunge""","""wenple""",53,165,"""Few""",175,565,"""True"""
0,"""awplor""","""fasees""",55,131,"""Most""",236,377,"""True"""
0,"""pluset""","""stubad""",71,176,"""Most""",173,464,"""True"""
0,"""pengyl""","""sedest""",92,178,"""Many""",117,378,"""True"""
0,"""gukbar""","""soarse""",34,160,"""Many""",181,512,"""False"""
0,"""pirter""","""secent""",68,162,"""Fewer than half""",156,2358,"""False"""
0,"""ancits""","""smeath""",87,180,"""Fewer than half""",136,473,"""True"""
0,"""puctor""","""recure""",68,81,"""Many""",180,699,"""True"""
0,"""pliper""","""sesare""",49,249,"""Most""",202,1181,"""True"""
0,"""menner""","""nandow""",54,167,"""Fewer than half""",199,578,"""False"""
0,"""middor""","""drooty""",30,110,"""Fewer than half""",187,753,"""True"""
0,"""raster""","""movell""",97,161,"""Most""",154,343,"""True"""
0,"""boddle""","""molill""",16,121,"""Most""",161,679,"""False"""
0,"""middor""","""drooty""",53,175,"""Few""",128,574,"""False"""
0,"""spunge""","""wenple""",47,133,"""Most""",141,1017,"""False"""
0,"""beckel""","""racual""",44,149,"""More than half""",136,1165,"""False"""
0,"""kustle""","""reshix""",58,144,"""More than half""",126,665,"""False"""
0,"""strant""","""potind""",10,143,"""More than half""",104,1095,"""True"""
0,"""devole""","""sholly""",21,169,"""Few""",181,838,"""True"""
0,"""puggle""","""entand""",94,151,"""More than half""",148,387,"""True"""
0,"""bameta""","""unzast""",4,123,"""Few""",153,558,"""True"""
0,"""raster""","""movell""",51,91,"""More than half""",168,530,"""True"""
0,"""awplor""","""fasees""",16,169,"""More than half""",166,398,"""False"""
0,"""chulks""","""vulhor""",42,178,"""Few""",183,774,"""False"""
1,"""floom""","""plerful""",92,200,"""Some""",2993,4615,"""False"""
1,"""glerb""","""fizzda""",20,200,"""All""",2993,4617,"""False"""
1,"""dring""","""larfy""",28,109,"""None""",2743,3491,"""False"""
1,"""thonk""","""krangly""",82,3721,"""Some""",96,2080,"""False"""
1,"""blek""","""orkital""",54,111,"""None""",2176,3119,"""True"""
1,"""slarm""","""briddle""",11,144,"""None""",1975,2200,"""False"""
1,"""klong""","""nooty""",62,119,"""All""",4496,3185,"""False"""
1,"""tenk""","""glurgy""",8,129,"""All""",2177,4760,"""False"""
1,"""pliper""","""sesare""",68,95,"""Few""",3443,4931,"""False"""
1,"""puctor""","""recure""",87,144,"""Few""",2274,2560,"""False"""
1,"""fleeve""","""scalfs""",51,168,"""Most""",1799,3576,"""True"""
1,"""zetten""","""unfobs""",83,126,"""Most""",1769,8344,"""True"""
1,"""menner""","""nandow""",46,272,"""Most""",2480,6120,"""False"""
1,"""sporer""","""firtly""",97,119,"""More than half""",1912,1904,"""True"""
1,"""schook""","""jabant""",96,161,"""Many""",2176,2337,"""True"""
1,"""strant""","""potind""",49,865,"""Most""",192,3983,"""False"""
1,"""chevel""","""podden""",14,96,"""Many""",1383,1498,"""False"""
1,"""beckel""","""racual""",41,136,"""More than half""",1412,3056,"""False"""
1,"""boddle""","""molill""",97,145,"""Fewer than half""",1680,1127,"""False"""
1,"""dorder""","""coggon""",37,95,"""More than half""",2176,1992,"""False"""
1,"""strant""","""potind""",14,112,"""Few""",471,3480,"""True"""
1,"""chulks""","""vulhor""",84,384,"""Few""",399,897,"""False"""
1,"""tecker""","""biller""",19,712,"""Few""",224,3617,"""True"""
1,"""tecker""","""biller""",68,170,"""Many""",783,2198,"""True"""
1,"""padnet""","""fanely""",51,112,"""Fewer than half""",897,2624,"""False"""
1,"""mecket""","""plumry""",26,169,"""Many""",727,2208,"""False"""
1,"""hadder""","""ollidy""",28,158,"""Most""",152,1011,"""False"""
1,"""shrile""","""athoid""",43,177,"""More than half""",584,1007,"""False"""
1,"""coamin""","""mucond""",23,489,"""Most""",168,511,"""False"""
1,"""chadop""","""shaple""",72,41,"""Many""",191,4938,"""True"""
1,"""kustle""","""reshix""",80,218,"""Few""",711,758,"""False"""
1,"""middor""","""drooty""",72,152,"""More than half""",345,1441,"""True"""
1,"""monter""","""melelt""",44,160,"""More than half""",543,687,"""False"""
1,"""beckel""","""racual""",94,208,"""Many""",336,656,"""True"""
1,"""puctor""","""recure""",12,151,"""Most""",543,657,"""False"""
1,"""umpond""","""marire""",37,168,"""Fewer than half""",232,1240,"""True"""
1,"""pobbit""","""spippy""",34,167,"""Fewer than half""",136,689,"""True"""
1,"""raster""","""movell""",94,152,"""Most""",662,1912,"""True"""
1,"""birler""","""enciad""",88,161,"""Fewer than half""",168,777,"""False"""
1,"""chulks""","""vulhor""",86,207,"""Fewer than half""",145,976,"""False"""
1,"""chadop""","""shaple""",68,191,"""Fewer than half""",608,913,"""False"""
1,"""shamer""","""bloifs""",31,200,"""More than half""",632,1408,"""False"""
1,"""bameta""","""unzast""",55,209,"""Most""",248,912,"""True"""
1,"""raster""","""movell""",18,199,"""More than half""",175,1087,"""False"""
1,"""puggle""","""entand""",68,225,"""Many""",313,751,"""True"""
1,"""umpond""","""marire""",23,217,"""Many""",207,1008,"""False"""
1,"""cather""","""funder""",74,113,"""Fewer than half""",472,1767,"""False"""
1,"""raster""","""movell""",15,241,"""Many""",337,1026,"""False"""
1,"""middor""","""drooty""",55,127,"""Most""",208,928,"""True"""
1,"""clidge""","""hensly""",97,208,"""Most""",201,648,"""True"""
1,"""pengyl""","""sedest""",48,186,"""More than half""",281,1174,"""False"""
1,"""isbant""","""unairs""",46,224,"""Most""",223,1001,"""False"""
1,"""mecket""","""plumry""",79,208,"""Few""",208,1224,"""False"""
1,"""ingell""","""nalill""",18,217,"""Most""",401,2535,"""False"""
1,"""devole""","""sholly""",83,241,"""More than half""",560,2896,"""True"""
1,"""pliper""","""sesare""",93,199,"""Fewer than half""",647,952,"""False"""
1,"""pliper""","""sesare""",74,336,"""More than half""",520,1551,"""True"""
1,"""pliper""","""sesare""",5,264,"""Many""",271,656,"""False"""
1,"""strant""","""potind""",30,192,"""More than half""",304,1247,"""False"""
1,"""coppar""","""hunene""",87,224,"""Fewer than half""",224,704,"""False"""
1,"""chadop""","""shaple""",29,241,"""Few""",232,824,"""True"""
1,"""ancits""","""smeath""",80,209,"""Few""",199,799,"""False"""
1,"""bemble""","""squank""",70,207,"""Many""",241,1368,"""True"""
1,"""coppar""","""hunene""",77,128,"""More than half""",255,937,"""True"""
1,"""fleeve""","""scalfs""",19,262,"""More than half""",240,780,"""False"""
1,"""spunge""","""wenple""",56,207,"""More than half""",216,1016,"""True"""
1,"""menner""","""nandow""",10,208,"""Fewer than half""",191,1753,"""True"""
1,"""zetten""","""unfobs""",1,184,"""Many""",231,881,"""False"""
1,"""pluset""","""stubad""",81,233,"""Few""",216,807,"""False"""
1,"""pirter""","""secent""",51,248,"""Few""",304,888,"""False"""
1,"""coamin""","""mucond""",7,201,"""Few""",256,791,"""True"""
1,"""ancits""","""smeath""",4,192,"""More than half""",201,663,"""False"""
1,"""awplor""","""fasees""",58,200,"""More than half""",183,3832,"""True"""
1,"""tiklet""","""hullaw""",27,184,"""Most""",271,672,"""False"""
1,"""bameta""","""unzast""",46,224,"""Few""",240,2344,"""False"""
1,"""spunge""","""wenple""",73,208,"""Most""",216,2536,"""True"""
1,"""chulks""","""vulhor""",47,240,"""Many""",192,1408,"""False"""
1,"""dorder""","""coggon""",94,81,"""Many""",200,1070,"""True"""
1,"""russer""","""huttle""",31,196,"""Fewer than half""",238,772,"""True"""
1,"""pluset""","""stubad""",32,208,"""Most""",208,703,"""False"""
1,"""middor""","""drooty""",95,224,"""Fewer than half""",224,634,"""False"""
1,"""pobbit""","""spippy""",67,191,"""More than half""",257,2041,"""True"""
1,"""fleeve""","""scalfs""",43,145,"""Many""",152,4296,"""True"""
1,"""chulks""","""vulhor""",85,226,"""More than half""",183,1038,"""True"""
1,"""menner""","""nandow""",6,240,"""More than half""",217,551,"""False"""
1,"""awplor""","""fasees""",78,225,"""Few""",232,639,"""False"""
1,"""monter""","""melelt""",87,185,"""Many""",191,882,"""True"""
1,"""beckel""","""racual""",98,242,"""Fewer than half""",193,478,"""False"""
1,"""gukbar""","""soarse""",15,240,"""Fewer than half""",200,744,"""False"""
1,"""beckel""","""racual""",63,239,"""Few""",152,855,"""False"""
1,"""zetten""","""unfobs""",75,224,"""More than half""",257,504,"""True"""
1,"""birler""","""enciad""",55,320,"""Most""",232,832,"""True"""
1,"""zetten""","""unfobs""",80,215,"""Fewer than half""",202,543,"""False"""
1,"""cosutz""","""spover""",62,232,"""Many""",254,911,"""True"""
1,"""kustle""","""reshix""",82,209,"""Most""",216,544,"""True"""
1,"""cosutz""","""spover""",43,239,"""Few""",240,947,"""False"""
1,"""ancits""","""smeath""",25,224,"""Fewer than half""",240,800,"""True"""
1,"""beckel""","""racual""",64,239,"""Most""",274,945,"""True"""
1,"""pirter""","""secent""",58,183,"""More than half""",208,679,"""True"""
1,"""dorder""","""coggon""",51,224,"""Most""",250,1096,"""True"""
1,"""tiklet""","""hullaw""",80,166,"""Fewer than half""",201,825,"""False"""
1,"""coamin""","""mucond""",37,176,"""More than half""",231,2303,"""False"""
1,"""bameta""","""unzast""",89,207,"""Fewer than half""",175,1792,"""False"""
1,"""cather""","""funder""",34,153,"""Few""",198,1833,"""True"""
1,"""tiklet""","""hullaw""",30,257,"""More than half""",208,1064,"""False"""
1,"""monter""","""melelt""",25,193,"""Fewer than half""",240,776,"""True"""
1,"""pengyl""","""sedest""",46,176,"""Fewer than half""",261,1889,"""True"""
1,"""sporer""","""firtly""",59,200,"""Many""",224,745,"""True"""
1,"""devole""","""sholly""",21,240,"""Most""",208,616,"""False"""
1,"""gukbar""","""soarse""",49,152,"""Most""",296,1328,"""False"""
1,"""puggle""","""entand""",13,223,"""Few""",215,953,"""True"""
1,"""shamer""","""bloifs""",63,176,"""Fewer than half""",168,1678,"""False"""
1,"""ingell""","""nalill""",53,216,"""Few""",144,1919,"""False"""
1,"""tecker""","""biller""",15,176,"""More than half""",200,687,"""False"""
1,"""chadop""","""shaple""",61,199,"""Most""",192,512,"""True"""
1,"""strant""","""potind""",95,215,"""Fewer than half""",215,642,"""True"""
1,"""mecket""","""plumry""",29,175,"""More than half""",256,712,"""False"""
1,"""birler""","""enciad""",10,257,"""Few""",224,800,"""True"""
1,"""awplor""","""fasees""",33,224,"""Many""",240,832,"""False"""
1,"""schook""","""jabant""",40,200,"""Most""",271,1128,"""False"""
1,"""chevel""","""podden""",68,185,"""Most""",257,800,"""True"""
1,"""werner""","""hurmer""",90,224,"""More than half""",216,824,"""True"""
1,"""shurry""","""preser""",70,185,"""Few""",227,1319,"""False"""
1,"""gukbar""","""soarse""",37,233,"""More than half""",187,2161,"""False"""
1,"""birler""","""enciad""",85,224,"""More than half""",401,799,"""True"""
1,"""pluset""","""stubad""",48,169,"""Fewer than half""",224,1399,"""True"""
1,"""pobbit""","""spippy""",98,192,"""Most""",215,752,"""True"""
