workerid,A,B,percent,read_and_decide_time,quant,read_time_one,response
0,"""russer""","""huttle""",23,531,"""More than half""",769,false
0,"""fleeve""","""scalfs""",52,649,"""Few""",593,false
0,"""pirter""","""secent""",7,529,"""Many""",730,false
0,"""strant""","""potind""",42,868,"""Fewer than half""",711,true
0,"""boddle""","""molill""",15,484,"""More than half""",770,false
0,"""middor""","""drooty""",92,735,"""More than half""",1576,true
0,"""shrile""","""athoid""",57,643,"""More than half""",801,true
0,"""coppar""","""hunene""",20,553,"""Many""",534,false
0,"""schook""","""jabant""",22,808,"""Fewer than half""",742,true
0,"""middor""","""drooty""",57,997,"""Fewer than half""",840,false
0,"""mecket""","""plumry""",93,845,"""More than half""",773,true
0,"""jallem""","""sildal""",20,835,"""More than half""",623,false
0,"""cather""","""funder""",40,525,"""More than half""",537,false
0,"""puctor""","""recure""",63,749,"""Fewer than half""",592,false
0,"""coamin""","""mucond""",68,595,"""Most""",828,true
0,"""devole""","""sholly""",46,514,"""More than half""",594,false
0,"""tecker""","""biller""",90,1038,"""Fewer than half""",733,false
0,"""shamer""","""bloifs""",89,859,"""More than half""",860,true
0,"""coamin""","""mucond""",88,554,"""Fewer than half""",682,false
0,"""pobbit""","""spippy""",33,962,"""More than half""",1573,false
0,"""mecket""","""plumry""",38,565,"""Few""",759,true
0,"""chadop""","""shaple""",31,849,"""Many""",154,false
0,"""clidge""","""hensly""",92,858,"""Many""",521,true
0,"""tiklet""","""hullaw""",87,510,"""Most""",568,true
0,"""pluset""","""stubad""",81,500,"""Many""",711,true
0,"""awplor""","""fasees""",51,551,"""Many""",663,true
0,"""birler""","""enciad""",91,930,"""Fewer than half""",877,false
0,"""shrile""","""athoid""",86,644,"""Few""",753,false
0,"""shrile""","""athoid""",32,765,"""Many""",654,true
0,"""pobbit""","""spippy""",62,965,"""Few""",851,false
0,"""umpond""","""marire""",45,797,"""Many""",614,true
0,"""middor""","""drooty""",1,590,"""Many""",628,false
0,"""kustle""","""reshix""",72,587,"""Many""",694,true
0,"""kustle""","""reshix""",64,635,"""Few""",684,false
0,"""hadder""","""ollidy""",60,1004,"""Many""",732,true
0,"""beckel""","""racual""",73,508,"""More than half""",741,true
0,"""pobbit""","""spippy""",4,743,"""Fewer than half""",681,true
0,"""clidge""","""hensly""",48,569,"""Fewer than half""",665,true
0,"""devole""","""sholly""",61,923,"""Few""",985,false
0,"""pirter""","""secent""",20,670,"""Most""",657,false
0,"""kustle""","""reshix""",54,611,"""More than half""",535,true
0,"""shamer""","""bloifs""",16,1003,"""Many""",681,false
0,"""isbant""","""unairs""",72,711,"""Fewer than half""",1529,false
0,"""birler""","""enciad""",99,502,"""Many""",594,true
0,"""zetten""","""unfobs""",73,620,"""Few""",891,false
0,"""raster""","""movell""",31,631,"""More than half""",875,false
0,"""raster""","""movell""",49,827,"""Most""",681,false
0,"""mecket""","""plumry""",15,506,"""Fewer than half""",667,true
0,"""pluset""","""stubad""",7,973,"""Most""",1429,false
0,"""bemble""","""squank""",17,457,"""More than half""",506,false
0,"""chevel""","""podden""",33,1232,"""Many""",806,true
0,"""coppar""","""hunene""",51,988,"""Fewer than half""",1309,false
0,"""shamer""","""bloifs""",55,1271,"""Few""",142,false
0,"""menner""","""nandow""",27,790,"""Few""",405,true
0,"""cosutz""","""spover""",12,596,"""Fewer than half""",665,true
0,"""bameta""","""unzast""",21,551,"""Most""",861,false
0,"""isbant""","""unairs""",41,1145,"""Most""",496,false
0,"""hadder""","""ollidy""",79,520,"""More than half""",514,true
0,"""werner""","""hurmer""",6,969,"""Few""",675,true
0,"""boddle""","""molill""",26,1121,"""Many""",688,false
0,"""pobbit""","""spippy""",24,1785,"""Most""",696,false
0,"""zetten""","""unfobs""",16,630,"""Fewer than half""",681,true
0,"""padnet""","""fanely""",25,1240,"""Few""",771,true
0,"""isbant""","""unairs""",26,1543,"""More than half""",549,false
0,"""tecker""","""biller""",54,1219,"""Few""",554,false
0,"""tecker""","""biller""",11,501,"""Many""",593,false
0,"""cather""","""funder""",8,804,"""Many""",663,false
0,"""chadop""","""shaple""",75,541,"""Most""",476,true
0,"""monter""","""melelt""",87,512,"""More than half""",550,true
0,"""mecket""","""plumry""",64,914,"""Most""",600,true
0,"""cather""","""funder""",56,704,"""Fewer than half""",769,false
0,"""shurry""","""preser""",45,954,"""Fewer than half""",709,false
0,"""gukbar""","""soarse""",77,997,"""Most""",712,true
0,"""puggle""","""entand""",65,459,"""More than half""",984,true
0,"""mecket""","""plumry""",77,460,"""Many""",509,true
0,"""ancits""","""smeath""",27,691,"""Few""",607,false
0,"""isbant""","""unairs""",28,1167,"""Many""",662,false
0,"""schook""","""jabant""",77,534,"""Few""",577,true
0,"""pobbit""","""spippy""",12,598,"""Many""",801,false
0,"""bameta""","""unzast""",3,780,"""More than half""",821,false
0,"""umpond""","""marire""",55,766,"""Few""",655,false
0,"""menner""","""nandow""",74,1003,"""Fewer than half""",1168,false
0,"""birler""","""enciad""",28,480,"""Most""",644,false
0,"""bemble""","""squank""",74,1852,"""Few""",2368,false
0,"""devole""","""sholly""",67,946,"""Many""",169,true
0,"""werner""","""hurmer""",94,652,"""More than half""",3277,true
0,"""gukbar""","""soarse""",53,578,"""Many""",841,true
0,"""pliper""","""sesare""",89,524,"""Fewer than half""",532,false
0,"""puctor""","""recure""",13,629,"""Few""",657,true
0,"""shurry""","""preser""",90,575,"""More than half""",1334,true
0,"""zetten""","""unfobs""",53,886,"""More than half""",1790,true
0,"""spunge""","""wenple""",63,637,"""Most""",632,true
0,"""awplor""","""fasees""",3,758,"""Few""",676,true
0,"""strant""","""potind""",86,1003,"""Most""",995,true
0,"""coamin""","""mucond""",78,692,"""Many""",688,true
0,"""coamin""","""mucond""",88,2778,"""More than half""",1693,true
0,"""menner""","""nandow""",45,1094,"""Many""",1354,true
0,"""pluset""","""stubad""",83,2756,"""Fewer than half""",1610,false
0,"""shurry""","""preser""",63,670,"""Few""",502,false
0,"""beckel""","""racual""",76,514,"""Most""",1068,true
0,"""strant""","""potind""",11,865,"""Few""",637,true
0,"""pirter""","""secent""",48,2403,"""Fewer than half""",1422,true
0,"""devole""","""sholly""",96,693,"""Fewer than half""",833,false
0,"""umpond""","""marire""",39,625,"""More than half""",724,false
0,"""clidge""","""hensly""",67,570,"""More than half""",1383,true
0,"""shurry""","""preser""",59,896,"""Most""",1732,true
0,"""clidge""","""hensly""",66,461,"""Most""",692,true
0,"""tiklet""","""hullaw""",63,407,"""Many""",851,true
0,"""bameta""","""unzast""",14,517,"""Fewer than half""",601,true
0,"""padnet""","""fanely""",13,407,"""Fewer than half""",654,true
0,"""puctor""","""recure""",69,1077,"""Many""",920,true
0,"""schook""","""jabant""",30,374,"""Many""",681,true
0,"""fleeve""","""scalfs""",64,548,"""Fewer than half""",863,false
0,"""jallem""","""sildal""",16,569,"""Few""",770,true
0,"""pluset""","""stubad""",11,524,"""Few""",1489,true
0,"""chevel""","""podden""",18,496,"""Few""",614,true
0,"""bameta""","""unzast""",81,564,"""Many""",572,true
0,"""chadop""","""shaple""",63,664,"""Fewer than half""",700,false
0,"""werner""","""hurmer""",95,705,"""Many""",1010,true
0,"""monter""","""melelt""",7,939,"""Many""",623,false
0,"""devole""","""sholly""",13,513,"""Most""",563,false
0,"""hadder""","""ollidy""",67,666,"""Fewer than half""",669,false
0,"""zetten""","""unfobs""",74,768,"""Many""",575,true
0,"""padnet""","""fanely""",14,1006,"""Most""",911,false
0,"""pliper""","""sesare""",36,847,"""More than half""",631,true
0,"""awplor""","""fasees""",5,627,"""More than half""",864,false
0,"""tiklet""","""hullaw""",84,2361,"""More than half""",564,true
0,"""tiklet""","""hullaw""",89,565,"""Few""",573,false
0,"""puggle""","""entand""",94,923,"""Many""",534,true
1,"""glerb""","""fizzda""",20,10113,"""All""",3447,false
1,"""thonk""","""krangly""",82,5464,"""Some""",3032,true
1,"""slarm""","""briddle""",11,2166,"""None""",4344,true
1,"""klong""","""nooty""",62,3572,"""All""",3447,true
1,"""dring""","""larfy""",28,2218,"""None""",1712,false
1,"""floom""","""plerful""",92,4184,"""Some""",1775,true
1,"""blek""","""orkital""",54,3600,"""None""",1752,false
1,"""tenk""","""glurgy""",8,3313,"""All""",1384,true
1,"""ancits""","""smeath""",25,4872,"""Few""",4600,false
1,"""umpond""","""marire""",49,3064,"""Many""",2008,true
1,"""menner""","""nandow""",43,4216,"""Few""",2007,false
1,"""beckel""","""racual""",92,2280,"""Fewer than half""",2472,false
1,"""strant""","""potind""",31,2160,"""Many""",3183,false
1,"""spunge""","""wenple""",20,1800,"""Few""",2319,true
1,"""pobbit""","""spippy""",31,2248,"""Fewer than half""",2127,true
1,"""werner""","""hurmer""",13,1872,"""More than half""",1905,false
1,"""bameta""","""unzast""",60,1744,"""More than half""",2184,true
1,"""bemble""","""squank""",81,2904,"""Most""",1815,true
1,"""fleeve""","""scalfs""",25,5776,"""Few""",1832,true
1,"""birler""","""enciad""",93,1784,"""Few""",1703,false
1,"""devole""","""sholly""",66,1753,"""More than half""",1439,true
1,"""raster""","""movell""",9,1616,"""Many""",1518,false
1,"""pluset""","""stubad""",3,2792,"""Fewer than half""",2152,true
1,"""schook""","""jabant""",59,3200,"""Few""",1648,false
1,"""chadop""","""shaple""",39,2799,"""More than half""",176,false
1,"""menner""","""nandow""",86,2392,"""Fewer than half""",1615,false
1,"""schook""","""jabant""",43,5568,"""Many""",1287,false
1,"""pluset""","""stubad""",64,1264,"""More than half""",1815,true
1,"""pobbit""","""spippy""",87,1352,"""More than half""",1400,true
1,"""pluset""","""stubad""",99,1440,"""Few""",1583,false
1,"""cather""","""funder""",58,1632,"""Few""",1520,false
1,"""tecker""","""biller""",69,2288,"""Most""",1280,true
1,"""cather""","""funder""",3,7337,"""Fewer than half""",1816,false
1,"""fleeve""","""scalfs""",47,5119,"""Many""",1912,false
1,"""cosutz""","""spover""",40,1368,"""Most""",1056,false
1,"""zetten""","""unfobs""",34,1184,"""Most""",1088,false
1,"""padnet""","""fanely""",27,1407,"""Many""",1440,false
1,"""ingell""","""nalill""",87,1297,"""Fewer than half""",1784,false
1,"""ingell""","""nalill""",70,1248,"""Most""",1400,true
1,"""jallem""","""sildal""",54,1328,"""Fewer than half""",1640,false
1,"""werner""","""hurmer""",13,1728,"""Few""",1352,true
1,"""spunge""","""wenple""",27,1304,"""Many""",1161,false
1,"""pliper""","""sesare""",61,1576,"""Most""",1320,true
1,"""mecket""","""plumry""",41,1273,"""More than half""",1776,false
1,"""awplor""","""fasees""",96,1425,"""Many""",1408,true
1,"""pliper""","""sesare""",98,1176,"""More than half""",1368,true
1,"""puggle""","""entand""",28,855,"""More than half""",2352,false
1,"""devole""","""sholly""",71,976,"""Most""",1536,true
1,"""umpond""","""marire""",95,1025,"""More than half""",1376,true
1,"""tiklet""","""hullaw""",10,1177,"""More than half""",1232,false
1,"""gukbar""","""soarse""",20,1255,"""Few""",1329,true
1,"""shrile""","""athoid""",21,1008,"""Fewer than half""",1088,true
1,"""fleeve""","""scalfs""",6,1065,"""Most""",977,false
1,"""hadder""","""ollidy""",12,1161,"""Fewer than half""",1952,true
1,"""middor""","""drooty""",72,1153,"""Few""",1648,false
1,"""zetten""","""unfobs""",14,855,"""Many""",1372,false
1,"""boddle""","""molill""",68,1121,"""Most""",1032,true
1,"""zetten""","""unfobs""",36,944,"""More than half""",1120,false
1,"""pobbit""","""spippy""",60,824,"""Many""",1344,true
1,"""shurry""","""preser""",48,760,"""Many""",1080,false
1,"""kustle""","""reshix""",35,937,"""More than half""",1425,false
1,"""spunge""","""wenple""",38,792,"""More than half""",1248,false
1,"""shrile""","""athoid""",46,856,"""More than half""",1056,false
1,"""clidge""","""hensly""",47,552,"""More than half""",944,false
1,"""chadop""","""shaple""",17,721,"""Fewer than half""",1812,true
1,"""pengyl""","""sedest""",69,711,"""Fewer than half""",1168,false
1,"""kustle""","""reshix""",5,681,"""Fewer than half""",896,false
1,"""puctor""","""recure""",97,4127,"""More than half""",128,true
1,"""fleeve""","""scalfs""",29,1319,"""More than half""",1896,false
1,"""bemble""","""squank""",24,1048,"""Few""",1200,true
1,"""cosutz""","""spover""",90,960,"""Fewer than half""",928,false
1,"""middor""","""drooty""",74,639,"""Many""",1047,true
1,"""birler""","""enciad""",85,704,"""More than half""",936,true
1,"""schook""","""jabant""",32,879,"""Most""",1135,false
1,"""gukbar""","""soarse""",9,897,"""Many""",968,false
1,"""hadder""","""ollidy""",41,1273,"""Most""",760,false
1,"""umpond""","""marire""",56,1544,"""Most""",688,true
1,"""pliper""","""sesare""",53,1344,"""Few""",2248,false
1,"""pobbit""","""spippy""",53,8744,"""Most""",776,false
1,"""bemble""","""squank""",90,1232,"""More than half""",928,true
1,"""clidge""","""hensly""",85,944,"""Many""",904,true
1,"""coppar""","""hunene""",92,808,"""More than half""",926,true
1,"""hadder""","""ollidy""",72,919,"""Few""",967,false
1,"""tecker""","""biller""",55,657,"""Few""",855,false
1,"""sporer""","""firtly""",37,1959,"""Few""",687,true
1,"""chadop""","""shaple""",28,984,"""Few""",1160,true
1,"""monter""","""melelt""",73,1017,"""Few""",872,false
1,"""isbant""","""unairs""",94,743,"""More than half""",824,true
1,"""devole""","""sholly""",6,793,"""Few""",1032,false
1,"""kustle""","""reshix""",48,1001,"""Most""",967,false
1,"""tiklet""","""hullaw""",52,1616,"""Fewer than half""",2264,false
1,"""shamer""","""bloifs""",15,960,"""Most""",3368,false
1,"""pengyl""","""sedest""",7,1128,"""Few""",1016,true
1,"""tiklet""","""hullaw""",7,815,"""Most""",840,false
1,"""monter""","""melelt""",16,1744,"""Many""",808,false
1,"""shrile""","""athoid""",22,1432,"""Few""",992,true
1,"""russer""","""huttle""",15,1176,"""Many""",887,false
1,"""kustle""","""reshix""",8,1000,"""Few""",744,true
1,"""pirter""","""secent""",85,752,"""Few""",672,false
1,"""clidge""","""hensly""",97,880,"""Fewer than half""",856,false
1,"""pengyl""","""sedest""",18,764,"""Most""",768,false
1,"""zetten""","""unfobs""",80,848,"""Fewer than half""",717,false
1,"""pliper""","""sesare""",64,899,"""Fewer than half""",904,false
1,"""birler""","""enciad""",51,1834,"""Most""",648,false
1,"""mecket""","""plumry""",77,984,"""Many""",1048,true
1,"""hadder""","""ollidy""",58,1608,"""Many""",864,true
1,"""boddle""","""molill""",62,1088,"""Few""",1560,false
1,"""werner""","""hurmer""",12,904,"""Fewer than half""",920,true
1,"""coppar""","""hunene""",93,760,"""Fewer than half""",870,false
1,"""raster""","""movell""",86,760,"""More than half""",923,true
1,"""pluset""","""stubad""",75,752,"""Most""",888,true
1,"""cosutz""","""spover""",48,904,"""More than half""",2192,false
1,"""ingell""","""nalill""",68,856,"""More than half""",930,true
1,"""monter""","""melelt""",38,705,"""Most""",888,false
1,"""puctor""","""recure""",62,1112,"""Many""",742,true
1,"""ancits""","""smeath""",5,792,"""Fewer than half""",1848,true
1,"""mecket""","""plumry""",52,889,"""Few""",696,false
1,"""chulks""","""vulhor""",94,927,"""Fewer than half""",728,false
1,"""pobbit""","""spippy""",22,2016,"""Few""",1176,true
1,"""shamer""","""bloifs""",11,840,"""Many""",1181,false
1,"""russer""","""huttle""",83,920,"""Few""",770,false
1,"""chulks""","""vulhor""",35,2051,"""Most""",632,false
1,"""shamer""","""bloifs""",88,1841,"""Few""",767,false
1,"""puggle""","""entand""",86,593,"""Few""",712,false
1,"""clidge""","""hensly""",37,704,"""Most""",761,false
1,"""middor""","""drooty""",5,689,"""Most""",710,false
1,"""zetten""","""unfobs""",35,3072,"""Few""",856,true
1,"""puggle""","""entand""",39,833,"""Fewer than half""",863,false
1,"""chadop""","""shaple""",42,737,"""Many""",736,false
1,"""russer""","""huttle""",7,1284,"""Fewer than half""",760,true
1,"""pengyl""","""sedest""",11,656,"""More than half""",911,false
1,"""gukbar""","""soarse""",48,1184,"""Fewer than half""",960,true
1,"""puctor""","""recure""",62,1720,"""Most""",943,true
1,"""middor""","""drooty""",29,1145,"""Fewer than half""",856,true
1,"""puctor""","""recure""",71,952,"""Fewer than half""",776,false
1,"""dorder""","""coggon""",9,1096,"""Fewer than half""",776,true
1,"""coppar""","""hunene""",72,704,"""Most""",1011,true
1,"""tiklet""","""hullaw""",83,680,"""Few""",864,false
1,"""isbant""","""unairs""",85,1113,"""Few""",768,false
1,"""birler""","""enciad""",84,584,"""Many""",856,true
1,"""beckel""","""racual""",2,1194,"""More than half""",667,false
1,"""chulks""","""vulhor""",96,752,"""Many""",736,true
1,"""pirter""","""secent""",83,704,"""More than half""",792,true
1,"""umpond""","""marire""",47,1248,"""Fewer than half""",680,true
1,"""isbant""","""unairs""",29,1265,"""Many""",655,false
1,"""chevel""","""podden""",49,1224,"""Many""",759,false
1,"""mecket""","""plumry""",23,704,"""Fewer than half""",959,true
1,"""gukbar""","""soarse""",24,640,"""More than half""",680,false
1,"""awplor""","""fasees""",59,609,"""More than half""",968,true
1,"""jallem""","""sildal""",90,608,"""Many""",688,true
1,"""ancits""","""smeath""",16,688,"""More than half""",759,false
1,"""shrile""","""athoid""",69,672,"""Many""",839,true
1,"""spunge""","""wenple""",41,1064,"""Fewer than half""",624,true
1,"""mecket""","""plumry""",31,2497,"""Most""",826,false
1,"""jallem""","""sildal""",16,909,"""Few""",823,true
1,"""chulks""","""vulhor""",42,1047,"""More than half""",384,false
1,"""bameta""","""unzast""",84,856,"""Most""",727,true
1,"""raster""","""movell""",81,1424,"""Few""",761,false
1,"""pirter""","""secent""",54,935,"""Fewer than half""",759,false
1,"""shamer""","""bloifs""",24,864,"""Fewer than half""",775,true
1,"""puggle""","""entand""",78,600,"""Many""",721,true
1,"""cather""","""funder""",90,552,"""Most""",736,true
1,"""raster""","""movell""",77,881,"""Most""",824,true
1,"""werner""","""hurmer""",20,656,"""Many""",904,false
1,"""fleeve""","""scalfs""",99,1968,"""Fewer than half""",808,false
1,"""bemble""","""squank""",60,984,"""Many""",888,true
1,"""strant""","""potind""",17,1280,"""More than half""",904,false
1,"""shurry""","""preser""",24,1049,"""Fewer than half""",792,true
1,"""beckel""","""racual""",3,1152,"""Few""",816,true
1,"""monter""","""melelt""",34,664,"""More than half""",784,false
1,"""strant""","""potind""",43,920,"""Most""",752,false
1,"""awplor""","""fasees""",71,1168,"""Few""",632,false
1,"""sporer""","""firtly""",91,576,"""More than half""",728,true
1,"""tecker""","""biller""",68,752,"""Many""",696,true
1,"""werner""","""hurmer""",49,800,"""Most""",888,false
1,"""raster""","""movell""",80,1226,"""Fewer than half""",968,false
1,"""ancits""","""smeath""",94,705,"""Many""",688,true
1,"""isbant""","""unairs""",84,976,"""Fewer than half""",790,false
1,"""umpond""","""marire""",51,888,"""Few""",680,false
1,"""coamin""","""mucond""",58,667,"""Few""",696,false
1,"""coamin""","""mucond""",45,727,"""Most""",584,false
1,"""sporer""","""firtly""",67,1904,"""Most""",664,true
1,"""shurry""","""preser""",52,1208,"""Few""",1024,false
1,"""russer""","""huttle""",84,576,"""More than half""",640,true
1,"""bameta""","""unzast""",97,616,"""Many""",662,true
1,"""cosutz""","""spover""",49,1376,"""Few""",680,false
1,"""pengyl""","""sedest""",94,2009,"""Many""",784,true
1,"""padnet""","""fanely""",70,672,"""More than half""",759,true
1,"""puctor""","""recure""",78,927,"""Few""",721,false
1,"""bemble""","""squank""",42,816,"""Fewer than half""",1104,true
1,"""hadder""","""ollidy""",49,944,"""More than half""",824,false
1,"""schook""","""jabant""",97,760,"""Fewer than half""",999,false
1,"""padnet""","""fanely""",91,648,"""Most""",688,true
1,"""boddle""","""molill""",48,912,"""Fewer than half""",920,true
1,"""cather""","""funder""",59,1576,"""Many""",777,true
1,"""menner""","""nandow""",56,1008,"""More than half""",833,true
1,"""coamin""","""mucond""",73,726,"""Many""",728,true
1,"""middor""","""drooty""",30,701,"""More than half""",1024,false
1,"""pirter""","""secent""",78,664,"""Many""",688,true
1,"""coamin""","""mucond""",40,728,"""More than half""",1040,false
1,"""strant""","""potind""",69,1144,"""Fewer than half""",784,false
