workerid,color,proportion,read_and_decide_time,quant,read_time_one,response,side
0,"""yellow""","""b15_y18""",1040,"""Few""",128,true,7
0,"""blue""","""b12_y16""",704,"""Most""",144,true,2
0,"""yellow""","""b14_y16""",391,"""More than half""",113,true,8
0,"""yellow""","""b7_y8""",889,"""More""",144,false,7
0,"""yellow""","""b6_y9""",344,"""Few""",136,true,3
0,"""yellow""","""b18_y16""",354,"""Many""",303,true,0
0,"""blue""","""b16_y14""",1073,"""Many""",136,false,6
0,"""yellow""","""b27_y24""",656,"""More""",159,true,9
0,"""yellow""","""b24_y21""",1560,"""More""",176,false,8
0,"""yellow""","""b9_y6""",368,"""More than half""",87,false,2
0,"""yellow""","""b8_y9""",1112,"""Most""",127,true,3
0,"""yellow""","""b10_y5""",711,"""Most""",144,false,3
0,"""yellow""","""b5_y6""",65,"""Fewer than half""",159,true,9
0,"""blue""","""b27_y18""",671,"""Most""",72,false,4
0,"""yellow""","""b14_y16""",753,"""Fewer than half""",160,true,1
0,"""blue""","""b14_y16""",583,"""Few""",167,true,3
0,"""blue""","""b16_y12""",872,"""More""",128,false,6
0,"""yellow""","""b27_y24""",1433,"""Few""",111,false,7
0,"""blue""","""b16_y18""",1105,"""More than half""",407,false,8
0,"""blue""","""b15_y30""",296,"""Few""",129,true,6
0,"""yellow""","""b10_y20""",600,"""Most""",112,true,4
0,"""yellow""","""b9_y8""",832,"""Most""",119,true,2
0,"""yellow""","""b16_y18""",688,"""Fewer than half""",111,false,1
0,"""yellow""","""b15_y30""",567,"""Most""",127,true,0
0,"""blue""","""b9_y6""",770,"""Most""",128,true,6
0,"""blue""","""b16_y14""",1386,"""Fewer than half""",112,true,5
0,"""yellow""","""b6_y9""",1249,"""Many""",312,true,6
0,"""blue""","""b18_y12""",449,"""More than half""",143,false,8
0,"""yellow""","""b10_y5""",936,"""Fewer than half""",104,true,6
0,"""blue""","""b9_y8""",831,"""Many""",96,true,2
0,"""blue""","""b8_y6""",632,"""Many""",120,false,9
0,"""yellow""","""b16_y12""",672,"""More""",128,false,7
0,"""yellow""","""b21_y24""",728,"""Fewer than half""",112,false,5
0,"""blue""","""b9_y8""",304,"""Fewer than half""",80,true,3
0,"""yellow""","""b10_y5""",904,"""Most""",120,true,7
0,"""blue""","""b16_y12""",743,"""Most""",119,true,8
0,"""yellow""","""b12_y16""",841,"""Many""",96,false,5
0,"""yellow""","""b10_y20""",633,"""More than half""",95,true,2
0,"""blue""","""b12_y16""",432,"""Many""",113,true,7
0,"""blue""","""b10_y20""",792,"""Many""",112,true,0
0,"""blue""","""b14_y16""",807,"""Few""",103,false,7
0,"""yellow""","""b6_y8""",527,"""More than half""",111,true,9
0,"""blue""","""b5_y6""",488,"""Fewer than half""",96,true,2
0,"""blue""","""b20_y10""",752,"""Most""",111,true,4
0,"""blue""","""b27_y24""",896,"""Most""",87,true,9
0,"""blue""","""b15_y30""",896,"""More than half""",95,true,3
0,"""blue""","""b9_y6""",928,"""Fewer than half""",96,false,8
0,"""yellow""","""b24_y18""",608,"""Many""",88,true,3
0,"""blue""","""b12_y16""",671,"""More""",72,true,9
0,"""blue""","""b6_y5""",1272,"""Many""",103,true,6
0,"""blue""","""b18_y16""",736,"""More than half""",95,true,8
0,"""yellow""","""b27_y24""",905,"""More""",87,false,2
0,"""yellow""","""b5_y10""",1232,"""More than half""",96,false,5
0,"""blue""","""b12_y16""",256,"""Most""",112,true,0
0,"""yellow""","""b8_y9""",969,"""Most""",112,true,9
0,"""blue""","""b8_y6""",528,"""Few""",136,false,8
0,"""blue""","""b6_y8""",609,"""Few""",127,false,6
0,"""blue""","""b18_y12""",448,"""Few""",134,true,9
0,"""blue""","""b16_y18""",1065,"""More""",112,false,9
0,"""yellow""","""b6_y5""",375,"""Fewer than half""",104,false,4
0,"""blue""","""b15_y18""",601,"""Fewer than half""",88,true,3
0,"""blue""","""b30_y15""",449,"""More than half""",80,false,3
0,"""blue""","""b9_y6""",1088,"""Many""",111,false,1
0,"""blue""","""b24_y21""",471,"""Fewer than half""",120,false,7
0,"""yellow""","""b24_y18""",263,"""Many""",94,true,7
0,"""yellow""","""b6_y5""",545,"""More than half""",112,true,6
0,"""yellow""","""b10_y20""",152,"""More than half""",150,false,6
0,"""yellow""","""b18_y16""",457,"""Few""",152,true,5
0,"""blue""","""b6_y9""",416,"""Most""",135,false,4
0,"""blue""","""b20_y24""",272,"""Few""",152,true,7
0,"""blue""","""b18_y16""",824,"""Many""",152,true,4
0,"""yellow""","""b15_y18""",1376,"""More than half""",128,false,5
0,"""blue""","""b16_y18""",280,"""Many""",95,true,9
0,"""yellow""","""b12_y16""",240,"""Few""",103,true,7
0,"""yellow""","""b24_y27""",664,"""Many""",231,false,1
0,"""yellow""","""b27_y24""",864,"""Fewer than half""",128,false,2
0,"""yellow""","""b15_y30""",807,"""More""",168,false,0
0,"""yellow""","""b24_y27""",906,"""Fewer than half""",1199,false,6
0,"""blue""","""b18_y27""",440,"""Few""",144,true,2
0,"""yellow""","""b18_y24""",378,"""Many""",528,false,1
0,"""yellow""","""b30_y15""",529,"""More than half""",208,true,7
0,"""yellow""","""b7_y8""",704,"""Few""",136,true,9
0,"""yellow""","""b20_y10""",616,"""Most""",192,true,5
0,"""yellow""","""b24_y20""",600,"""Many""",463,true,7
0,"""yellow""","""b8_y9""",680,"""Most""",143,false,6
0,"""blue""","""b7_y8""",617,"""Fewer than half""",120,true,3
0,"""yellow""","""b24_y27""",656,"""Most""",135,false,9
0,"""yellow""","""b30_y15""",832,"""More""",127,true,7
0,"""yellow""","""b9_y8""",576,"""Few""",184,false,9
0,"""blue""","""b30_y15""",424,"""Few""",135,false,9
0,"""blue""","""b15_y18""",400,"""Most""",144,false,5
0,"""blue""","""b8_y9""",480,"""Fewer than half""",592,true,4
0,"""blue""","""b8_y7""",432,"""More""",120,true,3
0,"""blue""","""b18_y24""",575,"""More than half""",159,false,8
0,"""yellow""","""b8_y6""",289,"""Few""",112,true,6
0,"""yellow""","""b10_y5""",696,"""Few""",144,true,0
0,"""yellow""","""b24_y21""",608,"""Most""",144,false,7
0,"""yellow""","""b24_y18""",840,"""More""",104,false,7
0,"""yellow""","""b12_y16""",696,"""Most""",103,true,8
0,"""yellow""","""b18_y12""",712,"""More than half""",136,true,0
0,"""yellow""","""b24_y18""",815,"""Many""",121,false,5
0,"""yellow""","""b5_y6""",816,"""Few""",120,true,1
0,"""blue""","""b27_y24""",320,"""More than half""",112,false,5
0,"""yellow""","""b16_y12""",767,"""Fewer than half""",128,false,7
0,"""blue""","""b16_y14""",665,"""More than half""",93,true,0
0,"""yellow""","""b18_y24""",8583,"""More than half""",80,true,6
0,"""blue""","""b8_y6""",840,"""Fewer than half""",144,false,0
0,"""blue""","""b18_y24""",627,"""Fewer than half""",127,true,6
0,"""yellow""","""b20_y10""",648,"""More""",143,false,3
0,"""yellow""","""b8_y6""",624,"""Fewer than half""",103,true,8
0,"""blue""","""b14_y16""",264,"""More than half""",151,false,5
0,"""yellow""","""b16_y18""",559,"""Fewer than half""",320,false,7
0,"""yellow""","""b16_y18""",359,"""More""",104,false,8
0,"""yellow""","""b10_y5""",272,"""More""",87,true,9
0,"""blue""","""b18_y16""",352,"""Few""",151,false,2
0,"""blue""","""b24_y21""",384,"""More""",119,true,7
0,"""yellow""","""b20_y24""",376,"""Most""",176,false,6
0,"""yellow""","""b20_y24""",680,"""Many""",64,true,6
0,"""blue""","""b30_y15""",672,"""Many""",135,true,6
0,"""blue""","""b12_y18""",264,"""Fewer than half""",120,false,8
0,"""blue""","""b9_y8""",1033,"""Few""",88,true,6
0,"""yellow""","""b27_y18""",271,"""More""",119,false,1
0,"""yellow""","""b16_y18""",529,"""Many""",104,false,5
0,"""blue""","""b27_y18""",2503,"""Most""",79,true,0
0,"""blue""","""b24_y18""",297,"""Most""",167,false,6
0,"""blue""","""b24_y21""",656,"""Most""",135,true,7
0,"""blue""","""b24_y18""",696,"""More than half""",111,true,8
0,"""blue""","""b8_y7""",416,"""More""",129,false,9
0,"""yellow""","""b10_y20""",727,"""Most""",85,true,2
0,"""yellow""","""b8_y7""",672,"""More than half""",137,false,8
0,"""yellow""","""b21_y24""",545,"""Most""",128,true,6
0,"""blue""","""b24_y27""",376,"""Most""",120,false,1
0,"""blue""","""b8_y9""",681,"""More""",113,true,9
0,"""blue""","""b18_y24""",56,"""Many""",104,false,8
0,"""blue""","""b12_y18""",328,"""Few""",143,true,6
0,"""yellow""","""b15_y18""",912,"""Few""",168,true,0
0,"""blue""","""b27_y24""",706,"""More""",136,false,1
0,"""blue""","""b9_y6""",464,"""More""",111,true,2
0,"""blue""","""b21_y24""",512,"""Many""",112,false,4
0,"""yellow""","""b8_y6""",633,"""More than half""",561,false,5
0,"""yellow""","""b8_y9""",640,"""Few""",248,true,2
0,"""yellow""","""b5_y10""",431,"""Few""",280,false,8
0,"""blue""","""b8_y7""",800,"""Many""",72,true,0
0,"""blue""","""b30_y15""",471,"""Fewer than half""",112,false,2
0,"""yellow""","""b8_y7""",543,"""Few""",120,false,1
0,"""blue""","""b16_y18""",239,"""Few""",96,true,5
0,"""blue""","""b9_y6""",1032,"""Most""",112,true,7
0,"""yellow""","""b7_y8""",920,"""Few""",128,true,4
0,"""blue""","""b15_y30""",352,"""More than half""",146,false,9
0,"""yellow""","""b24_y20""",777,"""Fewer than half""",120,true,4
0,"""yellow""","""b16_y18""",311,"""Most""",159,false,1
0,"""yellow""","""b24_y20""",296,"""Few""",120,false,0
0,"""blue""","""b16_y14""",737,"""More""",152,true,4
0,"""blue""","""b24_y20""",408,"""Many""",191,false,3
0,"""blue""","""b16_y18""",257,"""Most""",127,false,9
0,"""yellow""","""b12_y16""",264,"""More""",160,false,8
0,"""blue""","""b24_y18""",272,"""More than half""",111,false,3
0,"""yellow""","""b12_y16""",816,"""More than half""",135,false,0
0,"""yellow""","""b24_y21""",289,"""Few""",137,true,8
0,"""blue""","""b18_y24""",607,"""More than half""",144,true,5
0,"""yellow""","""b16_y14""",191,"""More than half""",79,false,2
0,"""yellow""","""b15_y18""",263,"""Many""",111,false,8
0,"""yellow""","""b6_y8""",264,"""Fewer than half""",120,false,8
0,"""blue""","""b18_y12""",432,"""Few""",96,true,3
0,"""yellow""","""b7_y8""",720,"""Many""",128,false,7
0,"""blue""","""b8_y9""",289,"""Few""",48,false,1
0,"""blue""","""b6_y9""",370,"""More""",95,false,4
0,"""yellow""","""b24_y20""",888,"""Many""",120,false,7
0,"""yellow""","""b24_y18""",385,"""Most""",94,true,8
0,"""yellow""","""b24_y18""",1089,"""More""",112,true,2
0,"""yellow""","""b5_y6""",175,"""Few""",95,false,4
0,"""blue""","""b15_y30""",264,"""More""",103,true,0
0,"""blue""","""b9_y8""",360,"""Most""",112,true,1
0,"""blue""","""b24_y27""",553,"""More""",111,false,3
0,"""blue""","""b15_y30""",488,"""More""",111,false,8
0,"""blue""","""b30_y15""",257,"""Fewer than half""",96,true,3
0,"""blue""","""b12_y16""",649,"""Many""",127,true,8
0,"""yellow""","""b24_y20""",760,"""Most""",144,false,7
0,"""blue""","""b6_y9""",367,"""Fewer than half""",119,false,1
0,"""blue""","""b24_y21""",712,"""Many""",128,true,0
0,"""yellow""","""b16_y14""",367,"""Fewer than half""",103,false,8
0,"""blue""","""b6_y8""",754,"""Many""",128,false,8
0,"""blue""","""b5_y6""",2032,"""Few""",105,true,0
0,"""yellow""","""b18_y27""",298,"""More than half""",111,false,7
0,"""yellow""","""b18_y24""",777,"""Fewer than half""",136,false,7
0,"""yellow""","""b20_y24""",456,"""Many""",128,false,4
0,"""blue""","""b8_y6""",817,"""Fewer than half""",120,true,2
0,"""yellow""","""b10_y5""",1056,"""More than half""",103,false,9
1,"""blue""","""b7_y8""",4793,"""All""",1000,false,9
1,"""yellow""","""b24_y20""",1081,"""Some""",768,true,9
1,"""blue""","""b12_y16""",858,"""None""",776,false,8
1,"""yellow""","""b18_y16""",888,"""An even number""",1240,true,8
1,"""blue""","""b15_y30""",624,"""At least ten""",904,true,9
1,"""yellow""","""b6_y9""",752,"""Some""",744,true,8
1,"""blue""","""b18_y12""",1192,"""Many""",189,false,5
1,"""blue""","""b20_y10""",456,"""Few""",752,false,5
1,"""yellow""","""b24_y18""",496,"""Few""",768,false,1
1,"""yellow""","""b16_y18""",360,"""Many""",609,true,5
1,"""blue""","""b27_y18""",1065,"""More than half""",753,true,4
1,"""yellow""","""b18_y27""",832,"""More than half""",1281,true,7
1,"""blue""","""b27_y24""",824,"""Fewer than half""",904,false,5
1,"""blue""","""b20_y24""",936,"""More than half""",784,false,3
1,"""blue""","""b8_y7""",872,"""Fewer than half""",888,true,1
1,"""blue""","""b18_y24""",696,"""Many""",625,true,2
1,"""blue""","""b6_y9""",1479,"""More""",4304,false,1
1,"""blue""","""b20_y10""",1255,"""More than half""",872,true,3
1,"""blue""","""b6_y8""",713,"""Fewer than half""",952,true,7
1,"""yellow""","""b24_y20""",594,"""Many""",568,true,8
1,"""yellow""","""b27_y24""",720,"""Many""",625,true,3
1,"""blue""","""b8_y7""",800,"""Most""",456,false,7
1,"""yellow""","""b16_y18""",816,"""Fewer than half""",1704,false,9
1,"""blue""","""b9_y6""",902,"""Many""",656,true,3
1,"""yellow""","""b16_y18""",488,"""Most""",432,false,4
1,"""yellow""","""b18_y27""",705,"""Most""",496,true,5
1,"""blue""","""b12_y16""",704,"""Many""",320,true,5
1,"""blue""","""b18_y24""",1023,"""More than half""",1103,false,7
1,"""yellow""","""b18_y16""",2969,"""Most""",792,false,1
1,"""blue""","""b10_y5""",577,"""More""",80,true,4
1,"""blue""","""b24_y20""",1041,"""Most""",566,false,5
1,"""blue""","""b20_y10""",680,"""More""",1280,true,6
1,"""yellow""","""b30_y15""",1056,"""More than half""",1232,false,3
1,"""blue""","""b16_y12""",1040,"""Most""",872,false,5
1,"""blue""","""b7_y8""",1001,"""More""",984,false,6
1,"""yellow""","""b16_y14""",1527,"""Few""",576,false,3
1,"""yellow""","""b6_y5""",713,"""More than half""",1129,false,8
1,"""blue""","""b16_y12""",600,"""Few""",576,false,3
1,"""blue""","""b18_y16""",1521,"""Many""",2600,true,9
1,"""yellow""","""b7_y8""",488,"""More than half""",95,true,9
1,"""yellow""","""b12_y18""",657,"""More than half""",759,true,9
1,"""blue""","""b5_y10""",1479,"""Fewer than half""",961,true,5
1,"""yellow""","""b8_y9""",913,"""Fewer than half""",833,false,5
1,"""blue""","""b12_y18""",512,"""Many""",513,true,9
1,"""blue""","""b24_y20""",520,"""Few""",431,false,9
1,"""yellow""","""b15_y30""",639,"""Many""",473,true,0
1,"""blue""","""b16_y14""",674,"""More than half""",711,true,2
1,"""yellow""","""b12_y18""",976,"""Most""",760,true,1
1,"""yellow""","""b7_y8""",1201,"""More than half""",608,false,4
1,"""yellow""","""b24_y27""",760,"""More""",785,true,2
1,"""yellow""","""b24_y21""",569,"""More than half""",720,true,4
1,"""yellow""","""b27_y24""",575,"""Fewer than half""",831,false,8
1,"""blue""","""b6_y5""",1615,"""More than half""",695,false,9
1,"""yellow""","""b6_y5""",1328,"""Most""",551,false,6
1,"""blue""","""b24_y21""",1048,"""More""",808,true,1
1,"""yellow""","""b18_y15""",1065,"""Many""",488,true,5
1,"""yellow""","""b18_y12""",1786,"""Fewer than half""",984,true,5
1,"""blue""","""b8_y6""",753,"""More""",767,true,4
1,"""blue""","""b5_y10""",592,"""More than half""",800,true,2
1,"""yellow""","""b8_y6""",513,"""Many""",955,false,9
1,"""blue""","""b16_y14""",673,"""Fewer than half""",840,false,8
1,"""blue""","""b30_y15""",504,"""Few""",752,false,2
1,"""blue""","""b15_y30""",517,"""Fewer than half""",912,false,2
1,"""blue""","""b24_y20""",474,"""Few""",703,false,8
1,"""blue""","""b16_y14""",457,"""Few""",792,false,0
1,"""yellow""","""b15_y30""",1216,"""Fewer than half""",824,false,6
1,"""yellow""","""b8_y7""",833,"""Few""",631,true,5
1,"""blue""","""b12_y18""",511,"""Many""",616,true,1
1,"""yellow""","""b27_y24""",452,"""Most""",560,false,5
1,"""blue""","""b7_y8""",1353,"""Few""",615,false,2
1,"""blue""","""b9_y6""",848,"""Most""",567,true,4
1,"""blue""","""b18_y16""",609,"""Most""",623,true,6
1,"""yellow""","""b18_y12""",1073,"""Fewer than half""",631,false,8
1,"""yellow""","""b6_y5""",728,"""Many""",544,false,5
1,"""blue""","""b24_y27""",739,"""More""",535,true,3
1,"""blue""","""b12_y16""",895,"""Most""",489,false,1
1,"""yellow""","""b24_y18""",680,"""More""",600,false,1
1,"""blue""","""b8_y6""",1408,"""More than half""",608,true,6
1,"""blue""","""b7_y8""",1032,"""Many""",553,false,6
1,"""blue""","""b27_y18""",681,"""More""",535,true,0
1,"""blue""","""b10_y20""",1219,"""Fewer than half""",504,false,0
1,"""yellow""","""b12_y16""",1056,"""More""",465,true,4
1,"""yellow""","""b15_y30""",592,"""More""",527,true,6
1,"""blue""","""b8_y7""",719,"""Many""",448,true,6
1,"""blue""","""b20_y24""",968,"""More than half""",417,false,7
1,"""yellow""","""b24_y27""",1040,"""Many""",416,true,4
1,"""blue""","""b6_y8""",977,"""Few""",432,false,0
1,"""blue""","""b12_y18""",871,"""Few""",263,true,9
1,"""yellow""","""b9_y6""",1846,"""Few""",904,true,5
1,"""yellow""","""b30_y15""",1144,"""More than half""",696,true,9
1,"""blue""","""b16_y14""",784,"""Most""",503,true,7
1,"""yellow""","""b9_y8""",864,"""Fewer than half""",519,false,1
1,"""blue""","""b16_y18""",1090,"""More than half""",441,true,1
1,"""blue""","""b6_y9""",1256,"""More than half""",527,false,2
1,"""blue""","""b8_y7""",1296,"""Few""",560,false,0
1,"""yellow""","""b24_y18""",528,"""Many""",1079,true,8
1,"""yellow""","""b6_y5""",623,"""Most""",832,false,6
1,"""yellow""","""b8_y6""",1217,"""More""",1031,false,9
1,"""blue""","""b16_y12""",1712,"""Fewer than half""",864,false,5
1,"""blue""","""b15_y18""",544,"""Fewer than half""",736,false,5
1,"""blue""","""b30_y15""",721,"""More""",871,true,3
1,"""yellow""","""b9_y8""",768,"""More than half""",688,false,2
1,"""blue""","""b18_y15""",1088,"""Fewer than half""",968,true,2
1,"""yellow""","""b27_y24""",912,"""Fewer than half""",1407,false,6
1,"""yellow""","""b30_y15""",793,"""More""",848,false,4
1,"""blue""","""b27_y18""",808,"""Most""",1431,true,2
1,"""yellow""","""b20_y10""",991,"""Fewer than half""",705,true,2
1,"""yellow""","""b20_y10""",633,"""More than half""",648,false,0
1,"""yellow""","""b5_y10""",704,"""Many""",760,true,7
1,"""blue""","""b6_y9""",561,"""Most""",600,false,8
1,"""yellow""","""b18_y16""",608,"""Many""",680,true,2
1,"""blue""","""b10_y5""",744,"""More""",824,true,9
1,"""blue""","""b21_y24""",624,"""More""",1686,true,1
1,"""blue""","""b12_y16""",552,"""Many""",840,true,9
1,"""blue""","""b15_y30""",760,"""Many""",680,false,6
1,"""yellow""","""b16_y12""",711,"""Most""",789,false,0
1,"""yellow""","""b30_y15""",1048,"""Most""",529,false,9
1,"""yellow""","""b18_y15""",592,"""Few""",776,false,8
1,"""yellow""","""b8_y9""",560,"""Few""",1025,true,5
1,"""blue""","""b7_y8""",440,"""Few""",816,false,5
1,"""yellow""","""b18_y12""",607,"""Few""",1128,false,4
1,"""blue""","""b18_y27""",631,"""Most""",977,true,3
1,"""blue""","""b18_y16""",1008,"""More than half""",967,true,4
1,"""blue""","""b24_y18""",512,"""Many""",817,true,4
1,"""blue""","""b12_y16""",504,"""Many""",784,false,7
