workerid,A,percent_2,percent_1,B,read_and_decide_time,quant,read_time_one,response
0,"""awplor""","""18""","""82""","""fasees""",1207,"""Many""",799,true
0,"""puggle""","""88""","""12""","""entand""",777,"""Few""",140,true
0,"""beckel""","""70""","""30""","""racual""",823,"""Many""",946,true
0,"""pengyl""","""20""","""80""","""sedest""",931,"""Fewer than half""",1117,true
0,"""chevel""","""68""","""32""","""podden""",1387,"""Most""",845,false
0,"""werner""","""41""","""59""","""hurmer""",1049,"""Many""",820,true
0,"""hadder""","""92""","""8""","""ollidy""",639,"""Few""",756,true
0,"""ancits""","""15""","""85""","""smeath""",766,"""More than half""",831,true
0,"""middor""","""46""","""54""","""drooty""",665,"""More than half""",843,true
0,"""schook""","""5""","""95""","""jabant""",489,"""Many""",872,true
0,"""sporer""","""73""","""27""","""firtly""",1306,"""Fewer than half""",910,false
0,"""clidge""","""37""","""63""","""hensly""",679,"""Few""",631,false
0,"""beckel""","""59""","""41""","""racual""",748,"""Few""",753,false
0,"""umpond""","""89""","""11""","""marire""",706,"""Fewer than half""",920,true
0,"""werner""","""10""","""90""","""hurmer""",827,"""Fewer than half""",904,false
0,"""boddle""","""96""","""4""","""molill""",807,"""Few""",930,true
0,"""birler""","""3""","""97""","""enciad""",673,"""Many""",787,true
0,"""chulks""","""2""","""98""","""vulhor""",1299,"""Fewer than half""",979,true
0,"""tecker""","""86""","""14""","""biller""",544,"""Few""",634,true
0,"""boddle""","""75""","""25""","""molill""",901,"""Many""",707,true
0,"""monter""","""40""","""60""","""melelt""",560,"""More than half""",771,true
0,"""cosutz""","""25""","""75""","""spover""",681,"""More than half""",1249,true
0,"""bameta""","""78""","""22""","""unzast""",1100,"""More than half""",704,false
0,"""boddle""","""59""","""41""","""molill""",663,"""Fewer than half""",1003,true
0,"""awplor""","""84""","""16""","""fasees""",1470,"""Few""",661,false
0,"""spunge""","""41""","""59""","""wenple""",731,"""More than half""",671,true
0,"""pobbit""","""74""","""26""","""spippy""",798,"""More than half""",188,true
0,"""middor""","""38""","""62""","""drooty""",761,"""Most""",434,true
0,"""birler""","""86""","""14""","""enciad""",966,"""More than half""",536,false
0,"""sporer""","""9""","""91""","""firtly""",1487,"""Many""",220,false
0,"""pluset""","""20""","""80""","""stubad""",1062,"""Few""",1233,false
0,"""ancits""","""69""","""31""","""smeath""",1279,"""Many""",795,false
0,"""tecker""","""52""","""48""","""biller""",648,"""More than half""",696,false
0,"""dorder""","""73""","""27""","""coggon""",611,"""More than half""",639,false
0,"""devole""","""80""","""20""","""sholly""",441,"""Fewer than half""",698,true
0,"""fleeve""","""36""","""64""","""scalfs""",597,"""Most""",741,true
0,"""cosutz""","""20""","""80""","""spover""",670,"""Fewer than half""",800,false
0,"""menner""","""2""","""98""","""nandow""",1304,"""Many""",675,true
0,"""cather""","""86""","""14""","""funder""",668,"""More than half""",154,false
0,"""shurry""","""35""","""65""","""preser""",553,"""Many""",613,true
0,"""spunge""","""7""","""93""","""wenple""",874,"""Many""",949,true
0,"""padnet""","""77""","""23""","""fanely""",497,"""Fewer than half""",534,true
0,"""shurry""","""21""","""79""","""preser""",418,"""More than half""",737,true
0,"""kustle""","""14""","""86""","""reshix""",693,"""Fewer than half""",825,false
0,"""coamin""","""77""","""23""","""mucond""",644,"""Few""",642,false
0,"""isbant""","""88""","""12""","""unairs""",546,"""Fewer than half""",416,false
0,"""isbant""","""7""","""93""","""unairs""",882,"""Many""",521,true
0,"""bameta""","""59""","""41""","""unzast""",564,"""Fewer than half""",591,true
0,"""kustle""","""41""","""59""","""reshix""",927,"""Few""",799,false
0,"""kustle""","""24""","""76""","""reshix""",1593,"""Most""",773,false
0,"""tiklet""","""37""","""63""","""hullaw""",2225,"""Most""",792,true
0,"""beckel""","""15""","""85""","""racual""",487,"""More than half""",664,true
0,"""strant""","""97""","""3""","""potind""",670,"""Few""",856,false
0,"""monter""","""48""","""52""","""melelt""",782,"""Few""",178,true
0,"""shrile""","""59""","""41""","""athoid""",1522,"""Few""",634,false
0,"""shamer""","""46""","""54""","""bloifs""",682,"""More than half""",845,true
0,"""clidge""","""13""","""87""","""hensly""",769,"""Fewer than half""",670,false
0,"""padnet""","""93""","""7""","""fanely""",928,"""Most""",826,false
0,"""clidge""","""14""","""86""","""hensly""",539,"""More than half""",717,true
0,"""bemble""","""46""","""54""","""squank""",730,"""Few""",706,false
0,"""shurry""","""82""","""18""","""preser""",1198,"""Few""",889,true
0,"""raster""","""90""","""10""","""movell""",603,"""More than half""",666,false
0,"""werner""","""48""","""52""","""hurmer""",727,"""Few""",741,false
0,"""schook""","""37""","""63""","""jabant""",547,"""Most""",924,true
0,"""shamer""","""40""","""60""","""bloifs""",646,"""Fewer than half""",719,false
0,"""awplor""","""89""","""11""","""fasees""",1057,"""More than half""",676,false
0,"""schook""","""8""","""92""","""jabant""",590,"""More than half""",619,true
0,"""hadder""","""19""","""81""","""ollidy""",678,"""Fewer than half""",753,true
0,"""jallem""","""80""","""20""","""sildal""",968,"""Most""",896,false
0,"""menner""","""26""","""74""","""nandow""",723,"""Few""",672,true
0,"""pirter""","""94""","""6""","""secent""",606,"""Most""",419,true
0,"""ancits""","""82""","""18""","""smeath""",697,"""Few""",195,true
0,"""isbant""","""72""","""28""","""unairs""",630,"""Most""",498,false
0,"""strant""","""4""","""96""","""potind""",828,"""Most""",439,true
0,"""hadder""","""10""","""90""","""ollidy""",487,"""Many""",454,true
0,"""werner""","""26""","""74""","""hurmer""",661,"""More than half""",712,true
0,"""tiklet""","""57""","""43""","""hullaw""",515,"""Few""",490,true
0,"""jallem""","""47""","""53""","""sildal""",660,"""Few""",181,false
0,"""puctor""","""22""","""78""","""recure""",591,"""Few""",365,false
0,"""raster""","""66""","""34""","""movell""",743,"""Most""",212,true
0,"""birler""","""59""","""41""","""enciad""",502,"""Fewer than half""",1317,true
0,"""cather""","""84""","""16""","""funder""",1557,"""Many""",128,true
0,"""cosutz""","""38""","""62""","""spover""",939,"""Most""",432,true
0,"""tecker""","""87""","""13""","""biller""",583,"""Most""",391,false
0,"""bameta""","""14""","""86""","""unzast""",524,"""Few""",442,false
0,"""fleeve""","""44""","""56""","""scalfs""",555,"""More than half""",405,true
0,"""shurry""","""31""","""69""","""preser""",693,"""Fewer than half""",156,false
0,"""chadop""","""30""","""70""","""shaple""",633,"""More than half""",480,true
0,"""coppar""","""61""","""39""","""hunene""",662,"""More than half""",493,false
0,"""kustle""","""28""","""72""","""reshix""",577,"""Many""",525,true
0,"""jallem""","""58""","""42""","""sildal""",701,"""More than half""",586,true
0,"""tecker""","""38""","""62""","""biller""",849,"""Many""",556,true
0,"""spunge""","""24""","""76""","""wenple""",1293,"""Most""",879,true
0,"""bameta""","""94""","""6""","""unzast""",3677,"""Most""",525,false
0,"""jallem""","""5""","""95""","""sildal""",362,"""Many""",751,true
0,"""fleeve""","""9""","""91""","""scalfs""",1541,"""Few""",544,false
0,"""russer""","""1""","""99""","""huttle""",325,"""Many""",502,true
0,"""pengyl""","""37""","""63""","""sedest""",352,"""Many""",426,true
0,"""shrile""","""6""","""94""","""athoid""",396,"""Many""",403,true
0,"""shamer""","""27""","""73""","""bloifs""",1496,"""Most""",457,true
0,"""puctor""","""76""","""24""","""recure""",953,"""Most""",198,false
0,"""shamer""","""81""","""19""","""bloifs""",559,"""Few""",204,true
0,"""kustle""","""26""","""74""","""reshix""",686,"""More than half""",169,true
0,"""coppar""","""94""","""6""","""hunene""",779,"""Most""",436,false
0,"""mecket""","""10""","""90""","""plumry""",733,"""Few""",184,false
0,"""dorder""","""30""","""70""","""coggon""",491,"""Many""",430,true
0,"""awplor""","""78""","""22""","""fasees""",542,"""Most""",432,false
0,"""coamin""","""24""","""76""","""mucond""",568,"""More than half""",444,true
0,"""werner""","""8""","""92""","""hurmer""",555,"""Most""",601,true
0,"""raster""","""46""","""54""","""movell""",817,"""Many""",244,true
0,"""hadder""","""29""","""71""","""ollidy""",816,"""More than half""",666,true
0,"""ancits""","""17""","""83""","""smeath""",675,"""Fewer than half""",530,true
0,"""monter""","""11""","""89""","""melelt""",1907,"""Fewer than half""",461,false
0,"""beckel""","""27""","""73""","""racual""",646,"""Most""",492,true
0,"""zetten""","""38""","""62""","""unfobs""",880,"""Fewer than half""",493,true
0,"""hadder""","""25""","""75""","""ollidy""",757,"""Most""",528,true
0,"""devole""","""81""","""19""","""sholly""",696,"""More than half""",554,false
0,"""puctor""","""88""","""12""","""recure""",1905,"""Fewer than half""",521,true
0,"""monter""","""13""","""87""","""melelt""",1120,"""Most""",631,true
0,"""bemble""","""61""","""39""","""squank""",682,"""Fewer than half""",206,true
0,"""zetten""","""45""","""55""","""unfobs""",704,"""Few""",568,false
0,"""chevel""","""61""","""39""","""podden""",469,"""Many""",485,true
0,"""mecket""","""9""","""91""","""plumry""",580,"""Fewer than half""",474,false
0,"""boddle""","""94""","""6""","""molill""",916,"""Most""",584,false
0,"""ingell""","""94""","""6""","""nalill""",757,"""Few""",611,true
0,"""awplor""","""99""","""1""","""fasees""",760,"""Fewer than half""",761,true
0,"""padnet""","""55""","""45""","""fanely""",809,"""More than half""",606,false
0,"""menner""","""70""","""30""","""nandow""",598,"""Most""",599,true
0,"""mecket""","""46""","""54""","""plumry""",878,"""Most""",671,true
0,"""strant""","""12""","""88""","""potind""",511,"""Fewer than half""",695,false
0,"""pengyl""","""97""","""3""","""sedest""",650,"""Few""",613,true
0,"""zetten""","""31""","""69""","""unfobs""",537,"""More than half""",560,true
0,"""chulks""","""2""","""98""","""vulhor""",630,"""Most""",520,true
0,"""coppar""","""39""","""61""","""hunene""",755,"""Few""",708,true
0,"""beckel""","""36""","""64""","""racual""",612,"""Fewer than half""",653,true
0,"""boddle""","""60""","""40""","""molill""",901,"""More than half""",686,false
0,"""pluset""","""64""","""36""","""stubad""",815,"""Most""",407,false
0,"""coamin""","""97""","""3""","""mucond""",1315,"""Many""",486,false
0,"""jallem""","""84""","""16""","""sildal""",989,"""Fewer than half""",543,false
0,"""middor""","""15""","""85""","""drooty""",592,"""Few""",740,false
0,"""coamin""","""30""","""70""","""mucond""",746,"""Fewer than half""",607,false
0,"""mecket""","""16""","""84""","""plumry""",531,"""More than half""",522,true
0,"""pluset""","""59""","""41""","""stubad""",1182,"""Many""",686,false
0,"""chevel""","""54""","""46""","""podden""",633,"""Fewer than half""",782,true
0,"""sporer""","""92""","""8""","""firtly""",770,"""Most""",583,false
0,"""pliper""","""55""","""45""","""sesare""",667,"""Few""",378,true
0,"""strant""","""84""","""16""","""potind""",770,"""Many""",554,true
0,"""cather""","""23""","""77""","""funder""",2046,"""Few""",558,false
0,"""umpond""","""83""","""17""","""marire""",541,"""More than half""",176,false
0,"""cather""","""72""","""28""","""funder""",1054,"""Most""",211,false
0,"""pengyl""","""25""","""75""","""sedest""",686,"""Most""",753,true
0,"""shurry""","""40""","""60""","""preser""",553,"""Most""",505,true
0,"""pliper""","""96""","""4""","""sesare""",727,"""Most""",542,false
0,"""isbant""","""24""","""76""","""unairs""",1508,"""Few""",345,false
0,"""ingell""","""96""","""4""","""nalill""",1086,"""Fewer than half""",472,true
0,"""gukbar""","""9""","""91""","""soarse""",5755,"""Most""",675,false
0,"""umpond""","""76""","""24""","""marire""",1442,"""Many""",755,false
0,"""pirter""","""69""","""31""","""secent""",481,"""Fewer than half""",452,true
0,"""coamin""","""30""","""70""","""mucond""",429,"""Most""",386,true
0,"""bemble""","""92""","""8""","""squank""",395,"""More than half""",450,true
0,"""shamer""","""10""","""90""","""bloifs""",472,"""Many""",292,true
0,"""pliper""","""62""","""38""","""sesare""",625,"""More than half""",410,false
0,"""chevel""","""86""","""14""","""podden""",545,"""More than half""",433,false
0,"""spunge""","""33""","""67""","""wenple""",1888,"""Fewer than half""",468,false
0,"""chevel""","""21""","""79""","""podden""",1087,"""Few""",439,false
0,"""pobbit""","""68""","""32""","""spippy""",453,"""Fewer than half""",300,true
0,"""chadop""","""63""","""37""","""shaple""",470,"""Few""",396,true
0,"""clidge""","""1""","""99""","""hensly""",753,"""Most""",512,true
0,"""strant""","""34""","""66""","""potind""",729,"""More than half""",527,true
0,"""gukbar""","""40""","""60""","""soarse""",755,"""Few""",709,true
0,"""chulks""","""97""","""3""","""vulhor""",728,"""Few""",584,false
0,"""puggle""","""39""","""61""","""entand""",851,"""Fewer than half""",740,false
0,"""sporer""","""56""","""44""","""firtly""",1434,"""More than half""",674,false
0,"""chadop""","""7""","""93""","""shaple""",555,"""Fewer than half""",642,false
0,"""bameta""","""86""","""14""","""unzast""",611,"""Many""",486,false
0,"""fleeve""","""17""","""83""","""scalfs""",1174,"""Fewer than half""",440,false
0,"""zetten""","""33""","""67""","""unfobs""",540,"""Most""",180,true
0,"""puctor""","""17""","""83""","""recure""",466,"""Many""",444,true
0,"""devole""","""83""","""17""","""sholly""",654,"""Most""",406,false
0,"""shrile""","""26""","""74""","""athoid""",705,"""More than half""",432,true
0,"""pliper""","""86""","""14""","""sesare""",529,"""Fewer than half""",270,true
0,"""bemble""","""32""","""68""","""squank""",461,"""Many""",499,true
0,"""gukbar""","""24""","""76""","""soarse""",1165,"""More than half""",496,true
0,"""pengyl""","""16""","""84""","""sedest""",568,"""More than half""",373,true
0,"""isbant""","""58""","""42""","""unairs""",619,"""More than half""",511,false
0,"""tecker""","""76""","""24""","""biller""",552,"""Fewer than half""",507,true
0,"""puggle""","""31""","""69""","""entand""",872,"""More than half""",669,true
0,"""shrile""","""5""","""95""","""athoid""",719,"""Fewer than half""",887,true
0,"""mecket""","""99""","""1""","""plumry""",643,"""Many""",567,false
0,"""puggle""","""17""","""83""","""entand""",830,"""Most""",478,true
0,"""russer""","""3""","""97""","""huttle""",1291,"""Few""",552,false
0,"""middor""","""40""","""60""","""drooty""",2032,"""Many""",814,true
0,"""sporer""","""7""","""93""","""firtly""",594,"""Few""",195,false
0,"""pluset""","""62""","""38""","""stubad""",773,"""Fewer than half""",420,true
0,"""dorder""","""75""","""25""","""coggon""",2116,"""Most""",424,false
0,"""pobbit""","""71""","""29""","""spippy""",965,"""Few""",139,true
0,"""dorder""","""87""","""13""","""coggon""",5149,"""Few""",181,true
0,"""pluset""","""91""","""9""","""stubad""",682,"""More than half""",667,false
0,"""puctor""","""60""","""40""","""recure""",1393,"""More than half""",515,false
0,"""pliper""","""39""","""61""","""sesare""",609,"""Many""",466,true
0,"""chulks""","""58""","""42""","""vulhor""",480,"""Many""",468,false
0,"""fleeve""","""33""","""67""","""scalfs""",431,"""Many""",464,true
0,"""ingell""","""88""","""12""","""nalill""",773,"""Most""",449,false
0,"""chadop""","""49""","""51""","""shaple""",456,"""Most""",369,true
0,"""ingell""","""49""","""51""","""nalill""",455,"""Many""",471,true
0,"""coppar""","""95""","""5""","""hunene""",685,"""Fewer than half""",499,true
0,"""pirter""","""42""","""58""","""secent""",677,"""Few""",413,false
0,"""raster""","""52""","""48""","""movell""",545,"""Few""",347,true
0,"""gukbar""","""16""","""84""","""soarse""",734,"""Fewer than half""",407,false
0,"""coppar""","""51""","""49""","""hunene""",725,"""Many""",304,true
0,"""russer""","""57""","""43""","""huttle""",690,"""Most""",376,false
0,"""padnet""","""9""","""91""","""fanely""",376,"""Many""",435,true
0,"""birler""","""65""","""35""","""enciad""",1166,"""Few""",404,true
0,"""spunge""","""19""","""81""","""wenple""",477,"""Few""",278,false
0,"""chadop""","""64""","""36""","""shaple""",591,"""Many""",415,false
0,"""pirter""","""61""","""39""","""secent""",986,"""More than half""",413,false
0,"""menner""","""67""","""33""","""nandow""",534,"""More than half""",314,false
0,"""monter""","""6""","""94""","""melelt""",425,"""Many""",389,true
0,"""birler""","""60""","""40""","""enciad""",1268,"""Most""",351,false
0,"""clidge""","""15""","""85""","""hensly""",678,"""Many""",196,true
0,"""devole""","""39""","""61""","""sholly""",593,"""Few""",260,false
0,"""ingell""","""88""","""12""","""nalill""",657,"""More than half""",345,false
0,"""umpond""","""21""","""79""","""marire""",744,"""Few""",329,false
0,"""russer""","""62""","""38""","""huttle""",1604,"""More than half""",262,false
0,"""bemble""","""64""","""36""","""squank""",1005,"""Most""",230,false
0,"""tiklet""","""23""","""77""","""hullaw""",438,"""More than half""",198,true
0,"""dorder""","""74""","""26""","""coggon""",424,"""Fewer than half""",162,true
0,"""pobbit""","""71""","""29""","""spippy""",669,"""Many""",162,false
0,"""gukbar""","""55""","""45""","""soarse""",705,"""Many""",231,false
0,"""cosutz""","""93""","""7""","""spover""",574,"""Few""",159,true
1,"""glerb""",80,20,"""fizzda""",3760,"""All""",1519,false
1,"""thonk""",18,82,"""krangly""",1918,"""Some""",1706,true
1,"""slarm""",89,11,"""briddle""",3088,"""None""",1249,false
1,"""klong""",38,62,"""nooty""",1359,"""All""",1075,true
1,"""dring""",72,28,"""larfy""",2200,"""None""",975,false
1,"""floom""",8,92,"""plerful""",1987,"""Some""",1001,true
1,"""blek""",46,54,"""orkital""",1577,"""None""",1393,false
1,"""tenk""",97,3,"""glurgy""",2208,"""All""",1481,false
1,"""dorder""","""78""","""22""","""coggon""",4601,"""Many""",1193,false
1,"""coppar""","""99""","""1""","""hunene""",1795,"""Many""",1052,false
1,"""tecker""","""53""","""47""","""biller""",2568,"""Most""",1030,true
1,"""umpond""","""17""","""83""","""marire""",4626,"""Many""",1015,true
1,"""sporer""","""19""","""81""","""firtly""",1912,"""Few""",975,false
1,"""cosutz""","""91""","""9""","""spover""",1976,"""Many""",1271,false
1,"""mecket""","""47""","""53""","""plumry""",2220,"""More than half""",1090,true
1,"""ingell""","""93""","""7""","""nalill""",1364,"""Many""",729,true
1,"""sporer""","""62""","""38""","""firtly""",1791,"""Many""",809,false
1,"""bemble""","""79""","""21""","""squank""",3105,"""More than half""",1616,false
1,"""schook""","""88""","""12""","""jabant""",1744,"""Few""",901,true
1,"""kustle""","""87""","""13""","""reshix""",2240,"""Few""",1571,true
1,"""puggle""","""34""","""66""","""entand""",2487,"""Few""",1072,false
1,"""shamer""","""11""","""89""","""bloifs""",2958,"""More than half""",2089,false
1,"""cather""","""67""","""33""","""funder""",2126,"""More than half""",2012,false
1,"""coppar""","""86""","""14""","""hunene""",1767,"""More than half""",968,false
1,"""devole""","""98""","""2""","""sholly""",2280,"""Many""",1550,false
1,"""hadder""","""26""","""74""","""ollidy""",1940,"""Fewer than half""",1412,false
1,"""isbant""","""92""","""8""","""unairs""",2891,"""Most""",1519,false
1,"""hadder""","""5""","""95""","""ollidy""",3330,"""More than half""",1646,true
1,"""birler""","""82""","""18""","""enciad""",1869,"""More than half""",1793,false
1,"""russer""","""55""","""45""","""huttle""",2585,"""Most""",1290,false
1,"""puctor""","""68""","""32""","""recure""",1928,"""Many""",931,false
1,"""cosutz""","""2""","""98""","""spover""",1312,"""Most""",1002,true
1,"""monter""","""43""","""57""","""melelt""",2216,"""More than half""",1048,true
1,"""pirter""","""78""","""22""","""secent""",1249,"""Most""",775,false
1,"""hadder""","""54""","""46""","""ollidy""",2496,"""Few""",889,false
1,"""beckel""","""6""","""94""","""racual""",823,"""More than half""",1031,true
1,"""umpond""","""75""","""25""","""marire""",1426,"""More than half""",863,false
1,"""umpond""","""67""","""33""","""marire""",3231,"""Fewer than half""",1483,true
1,"""cosutz""","""37""","""63""","""spover""",1609,"""Few""",871,false
1,"""strant""","""62""","""38""","""potind""",1245,"""Many""",682,false
1,"""tiklet""","""13""","""87""","""hullaw""",1254,"""Few""",665,false
1,"""isbant""","""99""","""1""","""unairs""",1793,"""Fewer than half""",1064,true
1,"""shrile""","""10""","""90""","""athoid""",1335,"""Fewer than half""",967,false
1,"""zetten""","""98""","""2""","""unfobs""",1769,"""Few""",1216,true
1,"""beckel""","""40""","""60""","""racual""",1509,"""Most""",1377,true
1,"""jallem""","""74""","""26""","""sildal""",1096,"""Fewer than half""",950,true
1,"""bemble""","""4""","""96""","""squank""",687,"""Few""",1071,false
1,"""chevel""","""97""","""3""","""podden""",768,"""Fewer than half""",803,true
1,"""pirter""","""53""","""47""","""secent""",593,"""Fewer than half""",784,true
1,"""monter""","""26""","""74""","""melelt""",1080,"""Most""",746,false
1,"""pengyl""","""73""","""27""","""sedest""",1201,"""Many""",649,false
1,"""ingell""","""67""","""33""","""nalill""",1033,"""More than half""",764,false
1,"""chevel""","""66""","""34""","""podden""",916,"""Most""",758,false
1,"""boddle""","""87""","""13""","""molill""",600,"""Most""",662,false
1,"""awplor""","""20""","""80""","""fasees""",735,"""Many""",753,true
1,"""pirter""","""49""","""51""","""secent""",757,"""Few""",727,false
1,"""bameta""","""23""","""77""","""unzast""",629,"""Few""",617,false
1,"""pliper""","""64""","""36""","""sesare""",2184,"""Most""",649,false
1,"""spunge""","""35""","""65""","""wenple""",973,"""More than half""",917,true
1,"""chevel""","""7""","""93""","""podden""",777,"""Few""",639,false
1,"""raster""","""89""","""11""","""movell""",695,"""Many""",400,false
1,"""jallem""","""81""","""19""","""sildal""",976,"""Few""",662,true
1,"""shurry""","""7""","""93""","""preser""",838,"""Many""",722,true
1,"""pirter""","""95""","""5""","""secent""",601,"""More than half""",650,false
1,"""spunge""","""24""","""76""","""wenple""",855,"""Fewer than half""",623,false
1,"""coppar""","""23""","""77""","""hunene""",603,"""Few""",799,false
1,"""monter""","""19""","""81""","""melelt""",832,"""Many""",615,true
1,"""monter""","""25""","""75""","""melelt""",580,"""Few""",565,false
1,"""pengyl""","""40""","""60""","""sedest""",512,"""More than half""",663,true
1,"""menner""","""93""","""7""","""nandow""",770,"""Most""",407,false
1,"""mecket""","""23""","""77""","""plumry""",760,"""Many""",512,true
1,"""dorder""","""54""","""46""","""coggon""",2072,"""Few""",713,false
1,"""strant""","""20""","""80""","""potind""",606,"""Most""",704,true
1,"""gukbar""","""32""","""68""","""soarse""",535,"""Most""",414,true
1,"""clidge""","""84""","""16""","""hensly""",873,"""Few""",470,true
1,"""gukbar""","""22""","""78""","""soarse""",509,"""More than half""",367,true
1,"""padnet""","""88""","""12""","""fanely""",624,"""More than half""",408,false
1,"""tecker""","""42""","""58""","""biller""",885,"""Many""",496,true
1,"""cather""","""77""","""23""","""funder""",648,"""Few""",760,true
1,"""shamer""","""6""","""94""","""bloifs""",820,"""Most""",728,true
1,"""tecker""","""71""","""29""","""biller""",727,"""Fewer than half""",904,true
1,"""bemble""","""67""","""33""","""squank""",742,"""Most""",1103,false
1,"""tiklet""","""68""","""32""","""hullaw""",736,"""Many""",633,false
1,"""shamer""","""33""","""67""","""bloifs""",668,"""Many""",549,true
1,"""beckel""","""7""","""93""","""racual""",467,"""Many""",496,true
1,"""umpond""","""74""","""26""","""marire""",802,"""Few""",489,true
1,"""clidge""","""17""","""83""","""hensly""",1080,"""Fewer than half""",928,false
1,"""cather""","""62""","""38""","""funder""",838,"""Fewer than half""",656,true
1,"""isbant""","""55""","""45""","""unairs""",832,"""More than half""",560,false
1,"""fleeve""","""4""","""96""","""scalfs""",824,"""Few""",736,false
1,"""beckel""","""30""","""70""","""racual""",2284,"""Few""",730,false
1,"""tecker""","""20""","""80""","""biller""",615,"""Few""",831,false
1,"""monter""","""32""","""68""","""melelt""",522,"""Fewer than half""",572,false
1,"""fleeve""","""15""","""85""","""scalfs""",1530,"""More than half""",270,false
1,"""bameta""","""9""","""91""","""unzast""",952,"""Many""",751,true
1,"""bameta""","""56""","""44""","""unzast""",555,"""Most""",673,false
1,"""boddle""","""92""","""8""","""molill""",1280,"""Fewer than half""",814,true
1,"""schook""","""11""","""89""","""jabant""",631,"""Fewer than half""",751,false
1,"""ingell""","""80""","""20""","""nalill""",560,"""Most""",583,false
1,"""chulks""","""88""","""12""","""vulhor""",911,"""Few""",622,true
1,"""raster""","""87""","""13""","""movell""",573,"""More than half""",568,false
1,"""pengyl""","""15""","""85""","""sedest""",521,"""Most""",871,true
1,"""russer""","""20""","""80""","""huttle""",920,"""Few""",651,false
1,"""coamin""","""49""","""51""","""mucond""",824,"""Fewer than half""",648,false
1,"""pluset""","""56""","""44""","""stubad""",695,"""More than half""",799,false
1,"""kustle""","""10""","""90""","""reshix""",927,"""Fewer than half""",1071,false
1,"""mecket""","""41""","""59""","""plumry""",635,"""Fewer than half""",608,false
1,"""middor""","""45""","""55""","""drooty""",1144,"""Most""",801,false
1,"""isbant""","""57""","""43""","""unairs""",546,"""Few""",783,true
1,"""padnet""","""85""","""15""","""fanely""",1239,"""Most""",720,false
1,"""awplor""","""6""","""94""","""fasees""",1018,"""Few""",811,false
1,"""cosutz""","""6""","""94""","""spover""",708,"""More than half""",679,true
1,"""zetten""","""46""","""54""","""unfobs""",736,"""Fewer than half""",640,false
1,"""bemble""","""89""","""11""","""squank""",569,"""Many""",715,false
1,"""bameta""","""86""","""14""","""unzast""",580,"""Fewer than half""",639,true
1,"""clidge""","""2""","""98""","""hensly""",663,"""Most""",756,true
1,"""chevel""","""74""","""26""","""podden""",475,"""More than half""",757,false
1,"""spunge""","""41""","""59""","""wenple""",622,"""Many""",666,true
1,"""gukbar""","""75""","""25""","""soarse""",728,"""Few""",601,true
1,"""dorder""","""57""","""43""","""coggon""",758,"""Fewer than half""",479,true
1,"""shrile""","""5""","""95""","""athoid""",767,"""Most""",577,true
1,"""tecker""","""52""","""48""","""biller""",596,"""More than half""",755,false
1,"""middor""","""32""","""68""","""drooty""",453,"""More than half""",810,true
1,"""puggle""","""54""","""46""","""entand""",727,"""Many""",631,false
1,"""middor""","""44""","""56""","""drooty""",947,"""Fewer than half""",601,false
1,"""pliper""","""10""","""90""","""sesare""",871,"""Few""",541,false
1,"""padnet""","""14""","""86""","""fanely""",464,"""Many""",567,true
1,"""bemble""","""54""","""46""","""squank""",528,"""Fewer than half""",568,true
1,"""fleeve""","""83""","""17""","""scalfs""",612,"""Many""",627,false
