workerid,A,B,read_time_two_and_decision,percent,nondecision_time,quant,read_time_one,response
0,"""raster""","""movell""",277,54,100,"""Few""",220,"""False"""
0,"""ingell""","""nalill""",238,81,112,"""More than half""",216,"""False"""
0,"""boddle""","""molill""",230,54,82,"""Fewer than half""",201,"""False"""
0,"""puggle""","""entand""",340,9,388,"""Many""",237,"""True"""
0,"""beckel""","""racual""",220,70,108,"""Few""",327,"""False"""
0,"""coamin""","""mucond""",197,57,79,"""Fewer than half""",175,"""False"""
0,"""pirter""","""secent""",249,40,76,"""Few""",175,"""False"""
0,"""zetten""","""unfobs""",198,79,95,"""Few""",203,"""False"""
0,"""shurry""","""preser""",212,2,115,"""Fewer than half""",230,"""False"""
0,"""awplor""","""fasees""",225,98,120,"""More than half""",272,"""False"""
0,"""dorder""","""coggon""",212,68,91,"""Most""",189,"""False"""
0,"""gukbar""","""soarse""",201,18,73,"""More than half""",225,"""False"""
0,"""umpond""","""marire""",250,47,109,"""Most""",199,"""False"""
0,"""schook""","""jabant""",235,65,74,"""More than half""",249,"""False"""
0,"""puctor""","""recure""",209,44,78,"""More than half""",222,"""False"""
0,"""cather""","""funder""",259,73,60,"""Fewer than half""",220,"""False"""
0,"""monter""","""melelt""",254,17,95,"""More than half""",251,"""False"""
0,"""chevel""","""podden""",188,27,365,"""Most""",244,"""True"""
0,"""kustle""","""reshix""",258,1,114,"""Few""",133,"""False"""
0,"""hadder""","""ollidy""",253,25,334,"""Fewer than half""",384,"""True"""
0,"""pirter""","""secent""",202,39,157,"""Fewer than half""",295,"""False"""
0,"""devole""","""sholly""",197,87,87,"""More than half""",156,"""False"""
0,"""schook""","""jabant""",160,68,84,"""Many""",193,"""False"""
0,"""pobbit""","""spippy""",212,76,118,"""Most""",226,"""False"""
0,"""monter""","""melelt""",239,35,108,"""Fewer than half""",240,"""False"""
0,"""pobbit""","""spippy""",204,62,90,"""More than half""",234,"""False"""
0,"""pirter""","""secent""",175,79,120,"""Most""",178,"""False"""
0,"""cosutz""","""spover""",203,64,121,"""More than half""",159,"""False"""
0,"""menner""","""nandow""",181,72,223,"""Fewer than half""",230,"""False"""
0,"""pliper""","""sesare""",167,49,157,"""More than half""",190,"""False"""
0,"""jallem""","""sildal""",240,31,98,"""Fewer than half""",262,"""False"""
0,"""fleeve""","""scalfs""",232,78,68,"""More than half""",263,"""False"""
0,"""schook""","""jabant""",201,18,96,"""Most""",180,"""False"""
0,"""coppar""","""hunene""",225,69,110,"""More than half""",239,"""False"""
0,"""spunge""","""wenple""",197,22,147,"""More than half""",210,"""False"""
0,"""devole""","""sholly""",267,19,120,"""Fewer than half""",208,"""False"""
0,"""middor""","""drooty""",212,18,97,"""Many""",604,"""False"""
0,"""awplor""","""fasees""",213,16,88,"""Few""",237,"""False"""
0,"""ancits""","""smeath""",196,99,119,"""More than half""",202,"""False"""
0,"""middor""","""drooty""",203,11,134,"""Few""",309,"""False"""
0,"""pluset""","""stubad""",292,75,70,"""More than half""",350,"""False"""
0,"""bemble""","""squank""",202,82,111,"""More than half""",224,"""False"""
0,"""shamer""","""bloifs""",277,10,153,"""More than half""",413,"""False"""
0,"""middor""","""drooty""",180,54,90,"""More than half""",221,"""False"""
0,"""fleeve""","""scalfs""",205,68,102,"""Fewer than half""",193,"""False"""
0,"""ingell""","""nalill""",217,94,109,"""Most""",221,"""False"""
0,"""bemble""","""squank""",268,64,73,"""Fewer than half""",276,"""False"""
0,"""fleeve""","""scalfs""",229,88,840,"""Many""",249,"""False"""
0,"""hadder""","""ollidy""",194,79,93,"""Few""",208,"""False"""
0,"""kustle""","""reshix""",176,81,116,"""Many""",175,"""False"""
0,"""umpond""","""marire""",203,30,83,"""More than half""",267,"""False"""
0,"""birler""","""enciad""",160,40,96,"""Many""",158,"""False"""
0,"""awplor""","""fasees""",95,26,186,"""Most""",137,"""True"""
0,"""padnet""","""fanely""",174,46,67,"""Fewer than half""",147,"""False"""
0,"""schook""","""jabant""",262,36,219,"""Few""",168,"""True"""
0,"""shamer""","""bloifs""",114,33,84,"""Many""",159,"""False"""
0,"""raster""","""movell""",187,47,86,"""Fewer than half""",192,"""False"""
0,"""devole""","""sholly""",146,5,109,"""Most""",170,"""False"""
0,"""shamer""","""bloifs""",203,35,94,"""Few""",199,"""False"""
0,"""puctor""","""recure""",204,73,107,"""Fewer than half""",157,"""False"""
0,"""strant""","""potind""",241,3,86,"""More than half""",154,"""False"""
0,"""werner""","""hurmer""",197,27,80,"""Few""",254,"""False"""
0,"""shrile""","""athoid""",236,73,67,"""Few""",203,"""False"""
0,"""shurry""","""preser""",212,23,98,"""Few""",198,"""False"""
0,"""birler""","""enciad""",225,3,92,"""Few""",231,"""False"""
0,"""monter""","""melelt""",202,4,99,"""Most""",197,"""False"""
0,"""cosutz""","""spover""",236,25,98,"""Many""",224,"""False"""
0,"""sporer""","""firtly""",211,58,122,"""Few""",233,"""False"""
0,"""shurry""","""preser""",240,16,102,"""Most""",231,"""False"""
0,"""cosutz""","""spover""",213,49,122,"""Fewer than half""",239,"""False"""
0,"""coamin""","""mucond""",195,41,119,"""Many""",222,"""False"""
0,"""spunge""","""wenple""",203,59,99,"""Few""",197,"""False"""
0,"""chulks""","""vulhor""",225,59,130,"""Many""",241,"""False"""
0,"""ingell""","""nalill""",256,17,95,"""Fewer than half""",252,"""False"""
0,"""tecker""","""biller""",204,79,86,"""Many""",249,"""False"""
0,"""birler""","""enciad""",231,14,111,"""More than half""",216,"""False"""
0,"""mecket""","""plumry""",254,40,158,"""Most""",238,"""True"""
0,"""clidge""","""hensly""",235,26,109,"""Fewer than half""",248,"""False"""
0,"""boddle""","""molill""",279,54,102,"""Most""",259,"""False"""
0,"""isbant""","""unairs""",257,93,71,"""Fewer than half""",304,"""False"""
0,"""pluset""","""stubad""",285,64,77,"""Fewer than half""",230,"""False"""
0,"""beckel""","""racual""",309,41,42,"""Many""",262,"""False"""
0,"""puggle""","""entand""",189,49,105,"""Few""",303,"""False"""
0,"""russer""","""huttle""",194,27,106,"""Few""",185,"""False"""
0,"""dorder""","""coggon""",336,75,105,"""Fewer than half""",318,"""False"""
0,"""bameta""","""unzast""",176,83,76,"""Fewer than half""",243,"""False"""
0,"""hadder""","""ollidy""",212,6,101,"""More than half""",188,"""False"""
0,"""pluset""","""stubad""",199,66,94,"""Most""",193,"""False"""
0,"""cosutz""","""spover""",227,92,92,"""Few""",175,"""False"""
0,"""umpond""","""marire""",181,6,85,"""Fewer than half""",247,"""False"""
0,"""coppar""","""hunene""",162,94,81,"""Most""",208,"""False"""
0,"""puctor""","""recure""",188,75,100,"""Most""",179,"""False"""
0,"""tiklet""","""hullaw""",224,58,59,"""Fewer than half""",217,"""False"""
0,"""spunge""","""wenple""",254,93,84,"""Fewer than half""",208,"""False"""
0,"""hadder""","""ollidy""",236,56,92,"""Most""",248,"""False"""
0,"""chulks""","""vulhor""",260,58,84,"""Most""",216,"""False"""
0,"""russer""","""huttle""",240,62,84,"""Fewer than half""",239,"""False"""
0,"""werner""","""hurmer""",250,73,96,"""Fewer than half""",184,"""False"""
0,"""mecket""","""plumry""",249,21,65,"""More than half""",254,"""False"""
0,"""coamin""","""mucond""",225,42,84,"""Few""",317,"""False"""
0,"""zetten""","""unfobs""",175,55,74,"""Many""",244,"""False"""
0,"""isbant""","""unairs""",197,74,103,"""Many""",216,"""False"""
0,"""padnet""","""fanely""",217,13,93,"""More than half""",230,"""False"""
0,"""pobbit""","""spippy""",384,57,70,"""Few""",128,"""False"""
0,"""menner""","""nandow""",273,34,67,"""Many""",258,"""False"""
0,"""umpond""","""marire""",226,25,57,"""Many""",237,"""False"""
0,"""gukbar""","""soarse""",205,22,79,"""Most""",226,"""False"""
0,"""russer""","""huttle""",236,92,76,"""More than half""",183,"""False"""
0,"""russer""","""huttle""",183,21,85,"""Many""",207,"""False"""
0,"""puggle""","""entand""",189,7,81,"""More than half""",199,"""False"""
0,"""zetten""","""unfobs""",193,59,80,"""Fewer than half""",240,"""False"""
0,"""cather""","""funder""",221,6,81,"""Few""",253,"""False"""
0,"""middor""","""drooty""",281,31,47,"""Fewer than half""",194,"""False"""
0,"""beckel""","""racual""",282,81,62,"""More than half""",179,"""False"""
0,"""chulks""","""vulhor""",226,44,125,"""Few""",175,"""False"""
0,"""shurry""","""preser""",228,77,94,"""More than half""",204,"""False"""
0,"""bemble""","""squank""",193,41,74,"""Most""",249,"""False"""
0,"""pluset""","""stubad""",266,1,71,"""Many""",181,"""False"""
1,"""glerb""","""fizzda""",2970,20,735,"""All""",1710,"""False"""
1,"""thonk""","""krangly""",891,82,1327,"""Some""",137,"""False"""
1,"""slarm""","""briddle""",54,11,2011,"""None""",1450,"""False"""
1,"""klong""","""nooty""",81,62,2797,"""All""",77,"""False"""
1,"""hadder""","""ollidy""",48,37,1277,"""More than half""",1945,"""False"""
1,"""schook""","""jabant""",83,15,1349,"""Many""",2370,"""False"""
1,"""isbant""","""unairs""",79,32,918,"""Fewer than half""",1093,"""False"""
1,"""umpond""","""marire""",63,76,656,"""Few""",2181,"""False"""
1,"""umpond""","""marire""",85,85,926,"""More than half""",1107,"""True"""
1,"""bemble""","""squank""",221,12,833,"""Fewer than half""",1335,"""True"""
1,"""clidge""","""hensly""",77,65,442,"""Most""",598,"""False"""
1,"""cosutz""","""spover""",88,10,479,"""Few""",764,"""True"""
1,"""fleeve""","""scalfs""",81,65,513,"""Many""",1510,"""False"""
1,"""gukbar""","""soarse""",71,77,2157,"""More than half""",846,"""False"""
1,"""shurry""","""preser""",107,98,1051,"""Most""",688,"""False"""
1,"""chevel""","""podden""",62,35,580,"""Many""",710,"""True"""
1,"""middor""","""drooty""",679,71,1414,"""Few""",31,"""False"""
1,"""cosutz""","""spover""",71,36,721,"""Most""",560,"""True"""
1,"""spunge""","""wenple""",77,53,705,"""More than half""",1242,"""False"""
1,"""menner""","""nandow""",60,96,1144,"""Many""",710,"""True"""
1,"""werner""","""hurmer""",63,74,1404,"""Few""",616,"""False"""
1,"""boddle""","""molill""",61,52,734,"""More than half""",635,"""True"""
1,"""zetten""","""unfobs""",65,68,1147,"""Most""",579,"""True"""
1,"""pobbit""","""spippy""",72,74,544,"""More than half""",854,"""True"""
1,"""fleeve""","""scalfs""",97,67,1147,"""Fewer than half""",418,"""False"""
1,"""spunge""","""wenple""",51,86,889,"""Few""",522,"""False"""
1,"""dorder""","""coggon""",1015,58,115,"""Few""",63,"""False"""
1,"""pobbit""","""spippy""",80,91,688,"""Many""",656,"""True"""
1,"""pliper""","""sesare""",72,20,516,"""Most""",569,"""False"""
1,"""chevel""","""podden""",78,94,1554,"""Few""",675,"""False"""
1,"""puctor""","""recure""",65,75,564,"""Few""",439,"""False"""
1,"""zetten""","""unfobs""",1108,10,28,"""Fewer than half""",72,"""False"""
1,"""tecker""","""biller""",77,83,489,"""Many""",471,"""True"""
1,"""beckel""","""racual""",78,1,1316,"""Few""",527,"""True"""
1,"""chulks""","""vulhor""",119,5,1424,"""More than half""",206,"""False"""
1,"""cather""","""funder""",70,83,1428,"""Fewer than half""",584,"""False"""
1,"""werner""","""hurmer""",62,51,962,"""More than half""",505,"""True"""
1,"""pluset""","""stubad""",49,42,1216,"""Few""",543,"""True"""
1,"""puctor""","""recure""",72,87,1142,"""Most""",1127,"""True"""
1,"""coppar""","""hunene""",70,51,1474,"""Many""",485,"""True"""
1,"""shurry""","""preser""",63,44,683,"""More than half""",455,"""False"""
1,"""isbant""","""unairs""",1058,89,42,"""Most""",103,"""True"""
1,"""strant""","""potind""",56,65,2602,"""Most""",75,"""True"""
1,"""devole""","""sholly""",32,55,795,"""More than half""",51,"""True"""
1,"""kustle""","""reshix""",25,91,1203,"""Few""",15,"""False"""
1,"""shrile""","""athoid""",69,62,1231,"""Few""",61,"""True"""
1,"""tecker""","""biller""",51,67,658,"""Most""",80,"""True"""
1,"""boddle""","""molill""",22,10,535,"""Many""",86,"""False"""
1,"""pengyl""","""sedest""",71,72,579,"""Most""",75,"""True"""
1,"""mecket""","""plumry""",79,17,811,"""Many""",92,"""False"""
1,"""pengyl""","""sedest""",48,87,807,"""Many""",53,"""True"""
1,"""gukbar""","""soarse""",48,12,968,"""Fewer than half""",65,"""True"""
1,"""werner""","""hurmer""",50,93,539,"""Many""",98,"""True"""
1,"""shrile""","""athoid""",69,18,864,"""Fewer than half""",86,"""True"""
1,"""devole""","""sholly""",33,79,715,"""Fewer than half""",83,"""False"""
1,"""tecker""","""biller""",39,18,1508,"""Few""",47,"""True"""
1,"""middor""","""drooty""",47,96,756,"""Most""",64,"""True"""
1,"""isbant""","""unairs""",30,4,691,"""Many""",48,"""False"""
1,"""pluset""","""stubad""",34,38,710,"""Most""",49,"""False"""
1,"""monter""","""melelt""",48,94,1120,"""Few""",69,"""False"""
1,"""coppar""","""hunene""",43,46,1906,"""Few""",47,"""False"""
1,"""beckel""","""racual""",55,17,661,"""Many""",62,"""False"""
1,"""beckel""","""racual""",49,76,1382,"""Fewer than half""",79,"""False"""
1,"""pliper""","""sesare""",65,87,516,"""Many""",79,"""True"""
1,"""ancits""","""smeath""",41,26,705,"""More than half""",78,"""False"""
1,"""menner""","""nandow""",50,99,1042,"""Fewer than half""",130,"""False"""
1,"""tiklet""","""hullaw""",47,97,571,"""Many""",510,"""True"""
1,"""awplor""","""fasees""",86,13,532,"""More than half""",575,"""False"""
1,"""puggle""","""entand""",24,54,1466,"""Few""",750,"""False"""
1,"""shrile""","""athoid""",56,83,720,"""More than half""",710,"""True"""
1,"""pliper""","""sesare""",44,48,1361,"""More than half""",811,"""False"""
1,"""chulks""","""vulhor""",63,54,668,"""Fewer than half""",93,"""False"""
1,"""dorder""","""coggon""",75,1,534,"""Many""",94,"""False"""
1,"""zetten""","""unfobs""",46,37,1846,"""Many""",1075,"""False"""
1,"""shamer""","""bloifs""",55,67,667,"""Many""",61,"""True"""
1,"""cather""","""funder""",61,89,573,"""More than half""",41,"""True"""
1,"""pengyl""","""sedest""",47,14,940,"""Fewer than half""",635,"""True"""
1,"""kustle""","""reshix""",55,5,1518,"""Fewer than half""",1148,"""True"""
1,"""zetten""","""unfobs""",94,76,832,"""More than half""",764,"""True"""
1,"""birler""","""enciad""",71,43,729,"""Many""",477,"""False"""
1,"""spunge""","""wenple""",72,71,622,"""Fewer than half""",70,"""False"""
1,"""russer""","""huttle""",84,51,852,"""Most""",402,"""True"""
1,"""bameta""","""unzast""",117,33,473,"""More than half""",630,"""False"""
1,"""mecket""","""plumry""",64,91,638,"""Fewer than half""",601,"""False"""
1,"""jallem""","""sildal""",83,8,1144,"""Many""",970,"""False"""
1,"""russer""","""huttle""",101,77,703,"""More than half""",625,"""True"""
1,"""shrile""","""athoid""",60,41,1833,"""Most""",791,"""False"""
1,"""jallem""","""sildal""",25,82,776,"""Most""",44,"""True"""
1,"""monter""","""melelt""",66,71,957,"""Fewer than half""",64,"""False"""
1,"""werner""","""hurmer""",77,90,610,"""Fewer than half""",62,"""False"""
1,"""awplor""","""fasees""",55,84,553,"""Most""",398,"""True"""
1,"""bemble""","""squank""",62,35,542,"""Many""",463,"""False"""
1,"""spunge""","""wenple""",87,64,448,"""Many""",426,"""True"""
1,"""monter""","""melelt""",80,33,543,"""Many""",456,"""False"""
1,"""chulks""","""vulhor""",71,85,713,"""Few""",546,"""False"""
1,"""chadop""","""shaple""",100,86,625,"""Fewer than half""",848,"""False"""
1,"""shamer""","""bloifs""",30,44,2290,"""Few""",63,"""False"""
1,"""dorder""","""coggon""",479,99,488,"""Fewer than half""",656,"""False"""
1,"""ancits""","""smeath""",479,44,489,"""Many""",656,"""False"""
1,"""padnet""","""fanely""",86,61,851,"""Fewer than half""",2811,"""False"""
1,"""pirter""","""secent""",63,3,918,"""Fewer than half""",917,"""True"""
1,"""mecket""","""plumry""",580,94,434,"""More than half""",88,"""True"""
1,"""awplor""","""fasees""",49,97,602,"""Many""",583,"""True"""
1,"""bameta""","""unzast""",44,4,763,"""Many""",499,"""False"""
1,"""cosutz""","""spover""",58,59,577,"""More than half""",482,"""True"""
1,"""puggle""","""entand""",39,3,1137,"""Fewer than half""",600,"""True"""
1,"""gukbar""","""soarse""",65,11,666,"""Most""",587,"""False"""
1,"""cather""","""funder""",91,34,1370,"""Few""",784,"""True"""
1,"""jallem""","""sildal""",88,63,762,"""Fewer than half""",804,"""False"""
1,"""chulks""","""vulhor""",495,58,224,"""Many""",760,"""True"""
1,"""devole""","""sholly""",1235,53,481,"""Many""",584,"""True"""
1,"""birler""","""enciad""",1235,88,481,"""More than half""",584,"""True"""
1,"""sporer""","""firtly""",109,68,1090,"""Fewer than half""",627,"""False"""
1,"""padnet""","""fanely""",73,46,826,"""More than half""",973,"""False"""
1,"""werner""","""hurmer""",241,56,372,"""Most""",573,"""True"""
1,"""strant""","""potind""",65,59,924,"""Fewer than half""",497,"""False"""
1,"""coamin""","""mucond""",56,94,757,"""Fewer than half""",483,"""False"""
1,"""ingell""","""nalill""",77,77,516,"""Most""",375,"""True"""
1,"""dorder""","""coggon""",73,62,487,"""Most""",380,"""True"""
1,"""schook""","""jabant""",62,3,809,"""Fewer than half""",526,"""True"""
1,"""sporer""","""firtly""",86,86,515,"""Most""",569,"""True"""
1,"""chadop""","""shaple""",70,88,443,"""Many""",416,"""True"""
1,"""chadop""","""shaple""",79,83,524,"""Few""",487,"""True"""
1,"""pengyl""","""sedest""",62,65,1022,"""Few""",689,"""False"""
1,"""pirter""","""secent""",56,49,1069,"""More than half""",416,"""False"""
1,"""padnet""","""fanely""",40,47,1310,"""Few""",378,"""False"""
1,"""tecker""","""biller""",63,82,752,"""Fewer than half""",447,"""False"""
1,"""shamer""","""bloifs""",46,33,556,"""Fewer than half""",482,"""True"""
1,"""pirter""","""secent""",47,66,534,"""Most""",401,"""True"""
1,"""clidge""","""hensly""",53,26,942,"""Fewer than half""",558,"""True"""
1,"""ingell""","""nalill""",71,58,643,"""Fewer than half""",611,"""False"""
1,"""beckel""","""racual""",87,46,557,"""More than half""",627,"""False"""
